coord,model,horizon,rmse,n,skill
h0,persistence,1,0.0012380923696842356,150,6.523694611182407e-07
h0,persistence,3,0.0023081529091338003,150,1.8770280640900694e-07
h0,persistence,5,0.00346490275052781,150,8.32947950613061e-08
h0,persistence,10,0.006192466936613876,150,2.6077898840348723e-08
h0,persistence,15,0.009158974932408344,150,1.1920823328459562e-08
h0,persistence,20,0.013016042225253766,150,5.9025829779457695e-09
h0,persistence,30,0.019844460694049944,147,2.539343180174569e-09
h0,persistence,40,0.025822680726497193,131,1.499675716942761e-09
h0,persistence,50,0.03022681287550639,117,1.094498824905088e-09
h0,persistence,75,0.04069511748265529,77,6.038309852129942e-10
h0,persistence,100,0.0493292532135694,45,4.1095182812256326e-10
h0,const_velocity,1,0.001361719190026578,150,-0.20967509148907815
h0,const_velocity,3,0.0024353014311359928,150,-0.11320773112388438
h0,const_velocity,5,0.003592790250672838,150,-0.07518102536273985
h0,const_velocity,10,0.00612323686349977,150,0.02223448787091742
h0,const_velocity,15,0.008747411516734102,150,0.08785187377838355
h0,const_velocity,20,0.01195072394425706,150,0.15699426559841778
h0,const_velocity,30,0.01849822582749559,147,0.1310764827070876
h0,const_velocity,40,0.026470020608497197,131,-0.05076574649841481
h0,const_velocity,50,0.033328695366150636,117,-0.21577137036161664
h0,const_velocity,75,0.030147127743521927,77,0.4512086354291276
h0,const_velocity,100,0.03557024102431678,45,0.4800464662199676
h0,linear_recent,1,0.0027093040762259262,150,-3.7886061985783153
h0,linear_recent,3,0.0030972167941443886,150,-0.8005864467164836
h0,linear_recent,5,0.0036478539944442465,150,-0.10839040858043458
h0,linear_recent,10,0.004671002344229717,150,0.4310255478978886
h0,linear_recent,15,0.0060974801293353425,150,0.5567925607249704
h0,linear_recent,20,0.008705767383817835,150,0.5526409605437066
h0,linear_recent,30,0.013141879500278049,147,0.5614325870736551
h0,linear_recent,40,0.017765873592039252,131,0.5266629677749703
h0,linear_recent,50,0.02071608467539059,117,0.5302890987197089
h0,linear_recent,75,0.028864693431431474,77,0.49690582944195216
h0,linear_recent,100,0.03543922812883399,45,0.4838696152642218
h0,quadratic_recent,1,0.003117766941985734,150,-5.341338235433206
h0,quadratic_recent,3,0.004575851794693991,150,-2.9302001285198345
h0,quadratic_recent,5,0.006300105406438315,150,-2.3060810447344497
h0,quadratic_recent,10,0.010671109398974999,150,-1.969557509027918
h0,quadratic_recent,15,0.015693977575401794,150,-1.936109914280348
h0,quadratic_recent,20,0.021634308111963946,150,-1.7626643335430456
h0,quadratic_recent,30,0.036243656295321655,147,-2.3356878568376485
h0,quadratic_recent,40,0.056761806880643625,131,-3.8318091469452487
h0,quadratic_recent,50,0.08063167538870122,117,-6.115847829064409
h0,quadratic_recent,75,0.07877336643477802,77,-2.746918079764331
h0,quadratic_recent,100,0.104912084040104,45,-3.523159959406615
h0,ar2,1,0.0012551557728529786,150,-0.027753296188314902
h0,ar2,3,0.0021104112369131514,150,0.16400256089224985
h0,ar2,5,0.0031156170417963817,150,0.19145163054258196
h0,ar2,10,0.0050565411686198745,150,0.3332244124892052
h0,ar2,15,0.007294020855700074,150,0.36577952937478786
h0,ar2,20,0.011161069418036724,150,0.26471836569018536
h0,ar2,30,0.02471797890376099,147,-0.551484038289314
h0,ar2,40,0.06279453427630714,131,-4.91345145145027
h0,ar2,50,0.17208401966205164,117,-31.411293883938484
h0,ar2,75,0.044424163730488186,77,-0.1916642448254684
h0,ar2,100,0.049436970234864236,45,-0.004372035307661726
h1,persistence,1,0.00599814748258489,150,2.7794938017855486e-08
h1,persistence,3,0.00871441561668591,150,1.3168110268857447e-08
h1,persistence,5,0.01306015691560812,150,5.862774710152507e-09
h1,persistence,10,0.022744238573979666,150,1.933112780960755e-09
h1,persistence,15,0.03327534688727394,150,9.031394521130665e-10
h1,persistence,20,0.04578768272416815,150,4.769827866013543e-10
h1,persistence,30,0.06584604719546935,147,2.3064328225075315e-10
h1,persistence,40,0.09298045501433233,131,1.1566891888747932e-10
h1,persistence,50,0.09752600090100702,117,1.051378983873974e-10
h1,persistence,75,0.13612271220804206,77,5.396827429393625e-11
h1,persistence,100,0.20398780171187192,45,2.4032109635641064e-11
h1,const_velocity,1,0.006419822822520352,150,-0.14554404664615328
h1,const_velocity,3,0.010618497375594959,150,-0.48473718180914105
h1,const_velocity,5,0.016201446681332273,150,-0.5389014162165939
h1,const_velocity,10,0.031676598154644006,150,-0.9396986574647375
h1,const_velocity,15,0.04688207149259038,150,-0.9850360670291554
h1,const_velocity,20,0.06221264352831696,150,-0.8461202308380871
h1,const_velocity,30,0.09213380278568223,147,-0.9578462146060476
h1,const_velocity,40,0.13013429860352568,131,-0.9588456522462623
h1,const_velocity,50,0.1629584191324673,117,-1.7919830249963504
h1,const_velocity,75,0.11057718186446176,77,0.3401125825144409
h1,const_velocity,100,0.1576508064246578,45,0.4027117137189127
h1,linear_recent,1,0.011229921382736853,150,-2.5052511442576217
h1,linear_recent,3,0.011576251152714113,150,-0.764653075559717
h1,linear_recent,5,0.014191683719819577,150,-0.18078561887448252
h1,linear_recent,10,0.019353166248946105,150,0.27596218444981824
h1,linear_recent,15,0.025189595043179375,150,0.42694383667614777
h1,linear_recent,20,0.03328338833620043,150,0.47160617390693294
h1,linear_recent,30,0.05304670856916523,147,0.35098091751201466
h1,linear_recent,40,0.07345777900997924,131,0.37584528966711994
h1,linear_recent,50,0.08031405551102457,117,0.32182421216843426
h1,linear_recent,75,0.10679026645050516,77,0.3845367118043369
h1,linear_recent,100,0.15447095325931756,45,0.42656359930176935
h1,quadratic_recent,1,0.013727188226243959,150,-4.237558483512516
h1,quadratic_recent,3,0.019497775606306365,150,-4.006031664682498
h1,quadratic_recent,5,0.027231325100929425,150,-3.3475116814574504
h1,quadratic_recent,10,0.04977731355200571,150,-3.7898300400646763
h1,quadratic_recent,15,0.07487289144893329,150,-4.062954524904569
h1,quadratic_recent,20,0.10356643429096868,150,-4.116119952208417
h1,quadratic_recent,30,0.16919854410381802,147,-5.6028864008823716
h1,quadratic_recent,40,0.2608455808897176,131,-6.870161288314701
h1,quadratic_recent,50,0.37214880475098394,117,-13.56104099754366
h1,quadratic_recent,75,0.2540266354328441,77,-2.482549713092748
h1,quadratic_recent,100,0.4678163051827743,45,-4.259474012192404
h1,ar2,1,0.006323346585720665,150,-0.11137258785069726
h1,ar2,3,0.008446731792574555,150,0.060491172256315395
h1,ar2,5,0.01164782506008925,150,0.20458663099379426
h1,ar2,10,0.017828064165816424,150,0.38557967774902824
h1,ar2,15,0.025375974943313312,150,0.41843228386359166
h1,ar2,20,0.03464781225272651,150,0.4273960956369498
h1,ar2,30,0.049310177595635406,147,0.4391926261311959
h1,ar2,40,0.0690912160245593,131,0.4478433099008816
h1,ar2,50,0.07758746235384084,117,0.36708955488843
h1,ar2,75,0.13779063016680604,77,-0.02465623063419109
h1,ar2,100,0.2766013909332821,45,-0.8386553248112871
