hypothesis,model,equation,notes,sensor,r2,mae,y_test_std,n_train,n_test,n_features
H1_degr_poly_ridge,ridge_scaled,"y_s(t) = b0 + b1*d + b2*d^2 + b3*d^3, d=t/T_fail",Monotone polynomial degradation,s11,0.6220890593021373,0.13763608870562663,0.27244229555210625,16561,4070,3
H1_degr_poly_ridge,ridge_scaled,"y_s(t) = b0 + b1*d + b2*d^2 + b3*d^3, d=t/T_fail",Monotone polynomial degradation,s12,0.586037240307139,0.39835808618885576,0.7477127943171277,16561,4070,3
H1_degr_poly_ridge,ridge_scaled,"y_s(t) = b0 + b1*d + b2*d^2 + b3*d^3, d=t/T_fail",Monotone polynomial degradation,s13,0.3898437102378377,0.047975169242193166,0.07275639300131045,16561,4070,3
H1_degr_poly_ridge,ridge_scaled,"y_s(t) = b0 + b1*d + b2*d^2 + b3*d^3, d=t/T_fail",Monotone polynomial degradation,s14,0.1815214399223759,11.17663372913016,16.82348269018121,16561,4070,3
H1_degr_poly_ridge,ridge_scaled,"y_s(t) = b0 + b1*d + b2*d^2 + b3*d^3, d=t/T_fail",Monotone polynomial degradation,s15,0.5413954137918566,0.020403762305789965,0.03748858631439066,16561,4070,3
H1_degr_poly_ridge,ridge_scaled,"y_s(t) = b0 + b1*d + b2*d^2 + b3*d^3, d=t/T_fail",Monotone polynomial degradation,s16,0.4375,1.0408340855860843e-17,1.3877787807814457e-17,16561,4070,3
H1_degr_poly_ridge,ridge_scaled,"y_s(t) = b0 + b1*d + b2*d^2 + b3*d^3, d=t/T_fail",Monotone polynomial degradation,s17,0.4861540900493443,0.9043444152627308,1.5584897510723095,16561,4070,3
H1_degr_poly_ridge,ridge_scaled,"y_s(t) = b0 + b1*d + b2*d^2 + b3*d^3, d=t/T_fail",Monotone polynomial degradation,s18,1.0,0.0,0.0,16561,4070,3
H1_degr_poly_ridge,ridge_scaled,"y_s(t) = b0 + b1*d + b2*d^2 + b3*d^3, d=t/T_fail",Monotone polynomial degradation,s19,1.0,0.0,0.0,16561,4070,3
H1_degr_poly_ridge,ridge_scaled,"y_s(t) = b0 + b1*d + b2*d^2 + b3*d^3, d=t/T_fail",Monotone polynomial degradation,s20,0.5010362472018433,0.10504477841719664,0.18410618374888527,16561,4070,3
H1_degr_poly_ridge,ridge_scaled,"y_s(t) = b0 + b1*d + b2*d^2 + b3*d^3, d=t/T_fail",Monotone polynomial degradation,s21,0.519750086540137,0.062485982673834525,0.11157063360363186,16561,4070,3
H2_settings_degr_xgb,xgb,"y_s(t) = F_xgb(u(t), d, d^2, d^3, 1/(rul+eps), exp(-3d))",Nonlinear settings + degradation,s1,0.0,1.708984370907274e-05,0.0,16561,4070,8
H2_settings_degr_xgb,xgb,"y_s(t) = F_xgb(u(t), d, d^2, d^3, 1/(rul+eps), exp(-3d))",Nonlinear settings + degradation,s2,0.44164387978181685,0.3049293905722133,0.5076013411825356,16561,4070,8
H2_settings_degr_xgb,xgb,"y_s(t) = F_xgb(u(t), d, d^2, d^3, 1/(rul+eps), exp(-3d))",Nonlinear settings + degradation,s3,0.42454214164733195,3.8595610807451637,6.311951418470039,16561,4070,8
H2_settings_degr_xgb,xgb,"y_s(t) = F_xgb(u(t), d, d^2, d^3, 1/(rul+eps), exp(-3d))",Nonlinear settings + degradation,s4,0.5753050210331656,4.892756058526566,9.138213151456167,16561,4070,8
H2_settings_degr_xgb,xgb,"y_s(t) = F_xgb(u(t), d, d^2, d^3, 1/(rul+eps), exp(-3d))",Nonlinear settings + degradation,s5,-1037629339972769.0,1.1444091718715299e-07,3.552713678800501e-15,16561,4070,8
H2_settings_degr_xgb,xgb,"y_s(t) = F_xgb(u(t), d, d^2, d^3, 1/(rul+eps), exp(-3d))",Nonlinear settings + degradation,s6,-0.025360709809027604,0.000426208196166204,0.0014863869847093817,16561,4070,8
H2_settings_degr_xgb,xgb,"y_s(t) = F_xgb(u(t), d, d^2, d^3, 1/(rul+eps), exp(-3d))",Nonlinear settings + degradation,s7,0.5407821264145454,0.5055761682758755,0.913951146013676,16561,4070,8
H2_settings_degr_xgb,xgb,"y_s(t) = F_xgb(u(t), d, d^2, d^3, 1/(rul+eps), exp(-3d))",Nonlinear settings + degradation,s8,0.3615764449725889,0.04800732301902449,0.07232391031537028,16561,4070,8
H2_settings_degr_xgb,xgb,"y_s(t) = F_xgb(u(t), d, d^2, d^3, 1/(rul+eps), exp(-3d))",Nonlinear settings + degradation,s9,0.16387524352915261,12.034881689573087,19.54794375085285,16561,4070,8
H2_settings_degr_xgb,xgb,"y_s(t) = F_xgb(u(t), d, d^2, d^3, 1/(rul+eps), exp(-3d))",Nonlinear settings + degradation,s10,-4.6116860270173224e+16,4.768371586472142e-08,2.220446049250313e-16,16561,4070,8
H2_settings_degr_xgb,xgb,"y_s(t) = F_xgb(u(t), d, d^2, d^3, 1/(rul+eps), exp(-3d))",Nonlinear settings + degradation,s11,0.6047328336873063,0.1403682504789835,0.27244229555210625,16561,4070,8
H2_settings_degr_xgb,xgb,"y_s(t) = F_xgb(u(t), d, d^2, d^3, 1/(rul+eps), exp(-3d))",Nonlinear settings + degradation,s12,0.5649446821846926,0.4079640291481109,0.7477127943171277,16561,4070,8
