coord,model,horizon,rmse,n,skill
h0,persistence,1,0.001544368303820224,156,4.192741221986651e-07
h0,persistence,3,0.003070230158614812,156,1.0608600298223081e-07
h0,persistence,5,0.004136053075964487,156,5.84558215166453e-08
h0,persistence,10,0.007663432249007132,156,1.7027596443952575e-08
h0,persistence,15,0.011365061949162572,156,7.74205732856359e-09
h0,persistence,20,0.01579933678145017,156,4.006104559195478e-09
h0,persistence,30,0.024813246048336967,153,1.6241750167012015e-09
h0,persistence,40,0.031286341427413746,130,1.0216224533010632e-09
h0,persistence,50,0.03646886178964236,108,7.518922151561469e-10
h0,persistence,75,0.05027025830354242,62,3.957106864405091e-10
h0,persistence,100,0.06591777801486078,26,2.3014157246592504e-10
h0,const_velocity,1,0.0014551783975340093,156,0.1121685271983841
h0,const_velocity,3,0.002557756209623046,156,0.30597297412193425
h0,const_velocity,5,0.0031744523449930527,156,0.4109320533594878
h0,const_velocity,10,0.005311609468183762,156,0.519597099456113
h0,const_velocity,15,0.007020720244473727,156,0.6183900253235437
h0,const_velocity,20,0.008937364644205534,156,0.6800064386565214
h0,const_velocity,30,0.013855796223689822,153,0.688185856478269
h0,const_velocity,40,0.01973936581788133,130,0.6019324004168144
h0,const_velocity,50,0.023705471318704433,108,0.5774746494871388
h0,const_velocity,75,0.03383759243557909,62,0.5469181380203076
h0,const_velocity,100,0.05263916279260948,26,0.3623052705993586
h0,linear_recent,1,0.0029441532669503344,156,-2.6342842173270453
h0,linear_recent,3,0.003744278564987804,156,-0.4872856595706134
h0,linear_recent,5,0.004293533675194575,156,-0.07759983255751912
h0,linear_recent,10,0.0062102410142492,156,0.3432950976385569
h0,linear_recent,15,0.00794594794459865,156,0.5111812983937151
h0,linear_recent,20,0.010444664301137486,156,0.562969993267646
h0,linear_recent,30,0.015827209590585187,153,0.593143234407756
h0,linear_recent,40,0.020752440937140113,130,0.5600241776685664
h0,linear_recent,50,0.025015987141641438,108,0.529466150150516
h0,linear_recent,75,0.035456802894548924,62,0.5025185258965613
h0,linear_recent,100,0.04947001601075039,26,0.43677881415204123
h0,quadratic_recent,1,0.0026288117312455272,156,-1.8974571823553954
h0,quadratic_recent,3,0.003673496559647499,156,-0.43158573425000646
h0,quadratic_recent,5,0.0046073980812344414,156,-0.2409070227653769
h0,quadratic_recent,10,0.0075969290546106846,156,0.01728069076844141
h0,quadratic_recent,15,0.010412693595410102,156,0.1605737231370763
h0,quadratic_recent,20,0.013503021157233596,156,0.26956061666823106
h0,quadratic_recent,30,0.021418137376440785,153,0.2549314448104951
h0,quadratic_recent,40,0.0324278418186069,130,-0.074302361627538
h0,quadratic_recent,50,0.04470895195742827,108,-0.502950096643668
h0,quadratic_recent,75,0.08674626111072928,62,-1.9776887257269768
