horizon,r2_manifold,r2_var,nrmse_manifold,nrmse_var,n_engines
1,0.7157458061003059,0.899198210987738,0.2990295248770964,0.17807163663576422,52
2,0.6835578155881482,0.8444212429498864,0.3211525218369349,0.2251849173131364,52
3,0.6451622142416236,0.8129029922531514,0.3334173499492477,0.24210663190558562,52
4,0.5354665533638266,0.7497423349583728,0.382155719874903,0.28049528404769175,52
5,0.4524444603723823,0.7395724957230752,0.41313736711480264,0.28492057586699443,52
6,0.3570542382000108,0.7362114935269272,0.44515041127831895,0.2851330400677422,52
7,0.18776971196058956,0.6928677666583098,0.5012457617050597,0.3082292306010842,52
8,-0.03470388160792415,0.6769746234647012,0.5574171815332315,0.3114516475460501,52
9,-0.2103970256215404,0.6660669363960057,0.6129602474321908,0.32195716679513225,52
10,-0.4375713380347628,0.6423893187391645,0.6720511081538604,0.3351913787499643,52
11,-0.5822350827755494,0.6353671245073951,0.7188693077630376,0.3450979249829614,52
12,-0.8203927781272862,0.6277387210441858,0.7660937723974177,0.3464362369352786,52
13,-1.0799947897937079,0.635615112143205,0.8029033838505755,0.3360565335541715,52
14,-1.3452314959500464,0.6399189565786854,0.856631375685753,0.3356612807728927,52
15,-1.682265989513187,0.6318720980270205,0.9027376017471568,0.33443365783724327,52
16,-1.8696802990290458,0.6513005184399744,0.9377314965868867,0.3268792825629916,52
17,-1.9412557753043562,0.6443974546815481,0.9810588634114387,0.34112307644623324,52
18,-2.2864933391812325,0.6357973949693965,1.0222319836338736,0.3402942499562328,52
19,-2.563597668736187,0.6296742911806184,1.0611109007496882,0.3420647911133463,52
20,-2.8469744935036614,0.6291755623449325,1.101493694288674,0.3419845886727551,52
21,-3.142894461597434,0.6336120021418862,1.1405196903142167,0.3391731554282408,52
22,-3.4359955079371485,0.6426706794654403,1.187158114509969,0.33693594378514197,52
23,-3.6641878653200237,0.6282846775329254,1.2266733464264945,0.34629493801248623,52
24,-3.9450005595213646,0.6467612074341361,1.2515520705108434,0.3345029454623421,52
25,-4.255732187904254,0.6651088560228029,1.2910570510366866,0.32589721701426533,52
26,-4.6177408857822,0.6128774781182682,1.3312041028191024,0.34945238969564363,52
27,-4.773639429548479,0.6103875033597441,1.376315035008149,0.3575275099382116,52
28,-4.733794269040793,0.6355998017452371,1.4123664933830749,0.35605382455153334,52
29,-4.974064395838234,0.6122303312813826,1.448150482863773,0.368948425564925,52
30,-5.111244728673165,0.6283226388094975,1.480123677310882,0.36501963184380826,52
31,-5.541842044531345,0.6128252966125938,1.5013455372028157,0.36524486397816686,52
32,-6.04378261348577,0.5787882772227863,1.517846211427688,0.37117184325608027,52
33,-6.119378306222678,0.5542103915394185,1.5562569082769404,0.38942625411552806,52
34,-6.392865639992054,0.5454549244269448,1.5843332353554935,0.39285167087326395,52
35,-6.469375873696201,0.5596056308299029,1.616484733091049,0.39250964117632403,52
36,-6.451923736994742,0.5383647386550746,1.6418180958921496,0.40863948141275014,52
37,-6.699996995617283,0.5454181467287558,1.6735508819887108,0.4066302566394366,52
38,-6.927074363525005,0.5255302594307432,1.6936306424571406,0.4143491924102994,52
39,-7.044000601292735,0.5090225379685644,1.7186554772819214,0.42460348812808546,52
40,-7.261471749971182,0.48390798244801714,1.736004069090954,0.4338959522277168,52
41,-7.461962949538902,0.4977367997626426,1.751946164393152,0.4268260099326807,52
42,-7.787379094607303,0.47437249639964907,1.7770835772395428,0.4346275111762211,52
43,-7.722420220976902,0.44123407810438986,1.8005089812139872,0.4557133431784635,52
44,-8.173822396631921,0.4246110414799511,1.8148122283310804,0.4545035657240338,52
45,-8.26826135891088,0.42819027342013694,1.8432676709153137,0.45784137718512763,52
46,-8.25452151093445,0.41961980700847756,1.8641798320630292,0.46683898038330846,52
47,-8.011803032277076,0.4556871752190924,1.8958677034272717,0.46593621389255047,52
48,-8.170828934272516,0.43267076824048856,1.9145709691027337,0.4761949152268232,52
49,-7.68844346561553,0.42635943161530665,1.9446694943895753,0.49968319121506166,52
50,-7.957860348819537,0.39765544736250225,1.9682257745397538,0.5103819001924484,52
51,-8.177061478294668,0.35531599526246194,1.9879983032911923,0.5269114503716836,52
52,-8.049742830810246,0.3499615086191554,2.0088468380420843,0.5383915606945464,52
53,-8.158601207617814,0.33082047331749553,2.026706241740708,0.5478321974538983,52
54,-8.353381143079412,0.31298075710282436,2.0675301876905245,0.5603404752741359,52
55,-8.259991715447855,0.30299707270902254,2.0961226725394426,0.5750805739051623,52
56,-8.25431578704945,0.3089848361228128,2.122392936590766,0.5799591745363335,52
57,-8.402476655931004,0.2997410740137103,2.1370780761695043,0.5832148636416449,52
58,-8.183427839365315,0.31703918002323184,2.154081880144076,0.587432125495428,52
59,-7.770810369975393,0.33315464867560607,2.159132998962317,0.5953496439842381,52
60,-8.05955580050411,0.3074643807594323,2.189483679114523,0.6053538624691526,52
61,-7.963890964486843,0.2661379671290821,2.212899632758374,0.6331704583555827,52
62,-8.307344446463658,0.23533249246248378,2.237915821365279,0.6414564427738375,52
63,-8.215426697266668,0.2433927422179305,2.26816330157407,0.6499079453144683,52
64,-7.708504818782295,0.22723783386376717,2.286160163792118,0.681016728843472,52
65,-7.695746080577036,0.21708400866910438,2.3006043417255593,0.6903130635647308,52
66,-7.5937365115571875,0.20234832465065633,2.329765473729414,0.709786653499436,52
67,-7.798594816555466,0.19456957248410078,2.3342572967749775,0.7062461315360999,52
68,-7.518088998325387,0.19127691344798303,2.3660942780417327,0.729055984333639,52
69,-7.25298263288785,0.20040094169794131,2.3743295294565643,0.7390463309217674,52
70,-7.16426454870359,0.19004326352047074,2.405389508443333,0.7576310915706245,52
71,-7.619847864559228,0.12659187366433022,2.4215829514715117,0.7708292110927994,52
72,-7.1143618119330405,0.1266508827913918,2.4452803534272887,0.8022235686526346,52
73,-7.142281187960528,0.11331890714850179,2.476480548193912,0.8172324386416063,52
74,-6.939783295790638,0.11816946556180441,2.5108621010795003,0.8367796373024942,52
75,-6.68110405348965,0.11625700555545326,2.5270492474152655,0.8571658761923336,52
76,-6.522006385204736,0.12137767923236409,2.548989024479053,0.8711686382842272,52
77,-6.483667595268072,0.08285290844622462,2.5662806003532252,0.8983930695586063,52
78,-6.868029817827012,-0.002148025394360431,2.592210008823846,0.9251307619728554,51
79,-6.698152956069309,0.017407473787588224,2.6334796509638245,0.9408565813436957,51
80,-6.579391514219738,0.013214981796693226,2.64385105516906,0.9539620275867602,51
81,-6.453298679568674,0.011918217093402128,2.667580191240444,0.9712693125807902,51
82,-6.77006851929669,-0.056158566945254895,2.715606416680586,1.0011956752493032,50
83,-6.574094008260537,-0.058372189879629,2.7365725995555263,1.022965149639162,50
84,-6.506001134522389,-0.0544877209389083,2.7679191473762272,1.0374563913960482,50
85,-6.165887322491769,-0.031781761917228035,2.801722873776991,1.0631244634044859,50
86,-5.887988477565976,-0.043738636319196056,2.7970295674982406,1.0887965383726288,50
87,-5.805278321177624,-0.08042844097161805,2.8312052887796115,1.1280969345056058,49
88,-5.303554668868769,-0.010454340049797395,2.874035382643229,1.1506882951110744,48
89,-5.5537934574973695,-0.04880935198333414,2.914164007417917,1.1657780940755382,47
90,-5.642837842011959,-0.01157025821465596,2.9297759717027505,1.1432879161574265,46
91,-5.576502027771367,-0.02446315761790485,2.939329449186142,1.1601094354314747,46
92,-5.502263947151062,-0.05645539519359666,2.965390303850957,1.1952951254685549,46
93,-5.671850620503269,-0.04369859551596411,2.973135164308581,1.1759234362340132,43
94,-5.634030025650562,-0.11133493172209263,2.973882645833681,1.2171878059898655,42
95,-5.373271929311856,-0.09517198510927116,2.9994322478897186,1.243366021437233,42
96,-5.22661659216597,-0.06973823362764509,3.0256326913694918,1.254090565937687,42
97,-5.048796734586684,-0.0754682432426963,3.062579480585629,1.2913729007545351,41
98,-6.416667811081491,-0.3276563251963609,2.9887769943682856,1.2645381387018129,40
99,-6.775878338787341,-0.32663819294264473,3.0313217496447966,1.2520842573965536,39
100,-6.811936192197211,-0.3733162005267905,2.9990627937784997,1.2574522057231807,38
101,-6.967595655926877,-0.45544813846051024,3.0446935043273258,1.3013026227374114,37
102,-6.793215907366687,-0.44312431306266054,3.0582816375607256,1.3160457734474174,37
103,-6.67138641935039,-0.4700382865470458,3.0944564946863684,1.3546021935937997,37
104,-6.3255784966408255,-0.44275629142608075,3.096721790908528,1.3742878766882427,37
105,-6.491484744693246,-0.3484305415538156,3.1457552995321936,1.3346127745316982,35
106,-6.365530622818307,-0.27906989272947436,3.1941331487108324,1.33106153815626,34
107,-6.067035153860515,-0.2528326540988275,3.19783936487754,1.346432390408855,32
108,-5.967350785209248,-0.27004473212176516,3.219058964994407,1.374372961061004,32
109,-6.104115580975822,-0.3499404698227364,3.258162710161665,1.420283586516745,32
110,-5.766088480564038,-0.319797132406173,3.260169287809938,1.4398753792580794,32
111,-6.678892537172723,-0.4861196968627113,3.376328167506757,1.4853276036859222,30
112,-6.4299865584147735,-0.5067142252000345,3.3851850536069756,1.5244172163530398,30
113,-6.639488430474071,-0.5500659725001611,3.4876110552722297,1.5709812374229994,29
114,-6.780162178398234,-0.5825106274545209,3.5641565347518305,1.6074436679988182,28
115,-6.43695775774555,-0.6135872030629475,3.5575448347168876,1.6571008695640412,28
116,-6.704122221334534,-0.42973785087836314,3.599064562766905,1.550444635965826,27
117,-6.988663053604736,-0.6071763616106225,3.5915772961785115,1.6109421085059263,26
118,-7.560103442262847,-0.7121051697434022,3.6811771980738204,1.6463131083636795,25
119,-8.09535130855568,-0.7175847582898816,3.8679667561873887,1.6808620905552027,23
120,-8.41702775587114,-0.7597426438514012,3.9139753449964547,1.6919430452790258,22
121,-8.829621591773263,-0.7680094237757225,3.9780046241815894,1.6870935761217405,21
122,-9.657043102727693,-0.9307309171986644,4.071023789436333,1.7327908844286688,20
123,-9.167672114672763,-0.6992653390075596,3.9423413918108983,1.6116623590511612,17
124,-10.391892767852607,-0.8505832343202373,4.015334338371956,1.6183709728593845,16
125,-9.016872828060697,-0.7296391218280227,4.10259165456823,1.7047863606941929,16
126,-8.255608527377555,-0.543176156170482,4.1072885907515495,1.677105882321763,15
127,-8.08410740400832,-0.5889397563918422,4.1480140477360825,1.7348135439416725,15
128,-8.523308190154177,-0.6542270953614597,4.140275341976943,1.725571143884153,15
129,-8.864335403824239,-0.7703169425246745,4.330290235937261,1.834461507185394,14
130,-8.74729836897359,-0.7991289701224762,4.372708100735429,1.8786224386956372,14
131,-9.179211471448802,-0.8674404697391633,4.552892046915991,1.950085565310529,13
132,-9.280337541631246,-1.023868869428223,4.588023765884579,2.035697094612978,12
133,-14.254408411269191,-1.785129453470816,4.473145054021773,1.9113401808213883,11
134,-14.06101066583652,-1.8698168316582482,4.466145649118988,1.9495434248724794,11
135,-12.56766330904754,-1.6711725195647325,4.436912141065268,1.968698766524079,11
136,-12.736189980084783,-1.742284446406913,4.400744622021807,1.9662977069831318,10
137,-12.171024418340943,-1.695849756148728,4.412816003210766,1.9964290669809204,10
138,-12.882657445509414,-1.0670875041294914,4.612623858875662,1.7798818239115244,9
139,-12.651187233521801,-1.0485405548102449,4.652070226873552,1.8021184523255211,9
140,-12.24497672300111,-1.0168027111149849,4.701752963763198,1.8347036101727379,9
141,-13.378816837927728,-1.2347036269624208,4.819288863714386,1.899902654094387,9
142,-12.960494094032114,-1.1855457382313435,4.841367740304846,1.915568237187304,9
143,-12.225429050336526,-1.145419396645257,4.780963220648472,1.925602402395308,9
144,-12.329800342175256,-1.2220447460262842,4.837210366396091,1.9749656787528902,9
145,-12.561099473411469,-1.0692069019529353,4.9887287230749475,1.9486973604655862,8
146,-12.26737272816791,-1.0725645669901627,4.925990011168191,1.9469513351817482,8
147,-23.03089427889172,-4.540809068540727,4.460727260302058,2.141939975911043,6
148,-18.599998456686688,-6.644527541828247,3.718319423524466,2.3221699539436647,5
149,-19.322997729744717,-6.873763906400876,3.83544656403483,2.387334346953124,5
150,-16.906568595285826,-5.942007022093536,3.9544422355952267,2.4621900669808037,5
