horizon,r2_manifold,r2_var,nrmse_manifold,nrmse_var,n_engines
1,0.9174129421938378,0.9742777799029666,0.17294263796997433,0.09651622050213138,20
2,0.9182795360297012,0.9631137929965617,0.17355472947112005,0.11660120556052662,20
3,0.9038462230193113,0.9375240746039925,0.19304555849325541,0.15560838261448712,20
4,0.9106149818687099,0.9391003725452592,0.18459943829242204,0.15237205572519863,20
5,0.8865881690739282,0.917175667432897,0.2082687651615881,0.17798111927992832,20
6,0.9046388093250411,0.9248695828457096,0.18817891845056126,0.16702944410302026,20
7,0.8950891461840035,0.912167401020002,0.1962888524118768,0.17960287818481294,20
8,0.8955420894417675,0.9134628520543118,0.1992374638892392,0.1813433467729003,20
9,0.8791788798339147,0.8950604686926736,0.21753484681417962,0.20273417656811793,20
10,0.8769201498957351,0.8865547332894189,0.21790488236411884,0.20920240459106268,20
11,0.8742600591836204,0.884368433296093,0.2219105481046989,0.21280387177588106,20
12,0.8713335951410115,0.8831274202987629,0.22377969930573433,0.2132771938319444,20
13,0.8603853058317621,0.8705594561583307,0.2338087324127766,0.22512842197837382,20
14,0.8609510843801358,0.8665458057743067,0.2327881647222212,0.22805689491779135,20
15,0.8563975272148058,0.8682732733191418,0.2351690854698083,0.22523517801859558,20
16,0.8390318650032503,0.8610950705672508,0.2527915826249767,0.23482886649648657,20
17,0.8402190796307455,0.8571515424026984,0.24852916437631017,0.23499178388060377,20
18,0.8396013995710745,0.8579025699536966,0.24930201999852075,0.23464895362725197,20
19,0.8173951125656005,0.8410638184225183,0.2667273994576961,0.24884150512576114,20
20,0.815249137185569,0.8521540405912336,0.2685171784556304,0.24020584295509245,20
21,0.8100268726087521,0.839050602518896,0.27365373638631063,0.25188364754784404,20
22,0.8143224742472578,0.8427264019848224,0.26335483259540315,0.24237595495612635,20
23,0.8204704753121888,0.8524723688636489,0.26282959508174436,0.23825554116794534,20
24,0.8202222670554385,0.8456483494146132,0.26459056115912216,0.2451670134418095,20
25,0.8207372232523907,0.8542811061275033,0.26675158606023236,0.24050265975762813,20
26,0.8121863872272344,0.848223444956274,0.27307523863287575,0.24548283717833852,20
27,0.8024163238939117,0.8331805413025883,0.28100928246556817,0.25820728379532,20
28,0.7919976697502562,0.8191687959199678,0.28666121153921803,0.2672831118139233,20
29,0.7931808869923698,0.8269490084521505,0.28795970434088014,0.26340464509700895,20
30,0.7899440887831083,0.815082158978086,0.2886509241717568,0.2708288375400044,20
31,0.7748309845782704,0.8049201954533338,0.300606539694004,0.2798016465865911,20
32,0.7772352416735953,0.7957231651392053,0.2963696702023504,0.28380502056344664,20
33,0.7794985392848266,0.8108348057254665,0.29951643917933257,0.2774185796940018,20
34,0.7703185315668136,0.7884054446829083,0.30605275371143803,0.29375519622317786,20
35,0.7595045430030261,0.7854488937543438,0.31541157077828386,0.2979130733847379,20
