coord,model,horizon,rmse,n,skill
h0,ar2,15,0.00909634341965961,60,0.6446717868256946
h0,ar2,20,0.01258179908997904,60,0.637158518364521
h0,ar2,30,0.02122321292037778,59,0.5822119021266594
h0,ar2,40,0.03586926683571161,49,0.1673130424039263
h0,ar2,50,0.054627667962967356,43,-0.25342054099568934
h0,ar2,75,0.1433065012800369,27,-2.77789632600189
h0,ar2,100,0.06766722000416636,9,0.21264191375431862
h1,persistence,1,0.004108411687958116,60,5.9245048866785055e-08
h1,persistence,3,0.007349993632821028,60,1.8510837418439507e-08
h1,persistence,5,0.011080144619376552,60,8.145338514786715e-09
h1,persistence,10,0.021239119670381317,60,2.2168022972834933e-09
h1,persistence,15,0.03495791737868477,60,8.18293099946743e-10
h1,persistence,20,0.04976298652718079,60,4.038193113231614e-10
h1,persistence,30,0.08179749095560954,59,1.4945833459734104e-10
h1,persistence,40,0.09737172640156772,49,1.0547129836169233e-10
h1,persistence,50,0.1203919772109944,43,6.899303350849095e-11
h1,persistence,75,0.1796875932942024,27,3.0971558651060604e-11
h1,persistence,100,0.21329061746112565,9,2.1981416686855937e-11
h1,const_velocity,1,0.003765597300082669,60,0.1599216161770084
h1,const_velocity,3,0.005407497645895088,60,0.4587240332980329
h1,const_velocity,5,0.006707906260319129,60,0.633492295515296
h1,const_velocity,10,0.011481043317710582,60,0.7077936252451524
h1,const_velocity,15,0.018344602044093335,60,0.724624381095974
h1,const_velocity,20,0.024938156661708497,60,0.7488600379983338
h1,const_velocity,30,0.039333914249806895,59,0.7687645748824674
h1,const_velocity,40,0.04469585685104354,49,0.7892979337374715
h1,const_velocity,50,0.0622054313079404,43,0.7330305803974488
h1,const_velocity,75,0.12125652428706715,27,0.5446199011009102
h1,const_velocity,100,0.158431726333639,9,0.4482519512486619
h1,linear_recent,1,0.007903083638069977,60,-2.7003705705914385
h1,linear_recent,3,0.008245962702378153,60,-0.25866106599782523
h1,linear_recent,5,0.009836702326545967,60,0.21185123922689075
h1,linear_recent,10,0.01360312005072793,60,0.5897920840856201
h1,linear_recent,15,0.020911880225705864,60,0.6421549104905119
h1,linear_recent,20,0.029838689930606652,60,0.640460483969941
h1,linear_recent,30,0.049246091499687394,59,0.637537091928641
h1,linear_recent,40,0.0568678899616399,49,0.6589103915470775
h1,linear_recent,50,0.07397672710221766,43,0.6224320408348242
h1,linear_recent,75,0.13114965488984523,27,0.4672810811283845
h1,linear_recent,100,0.17814987971594745,9,0.3023661194458602
h1,quadratic_recent,1,0.007083053294104339,60,-1.9723030091939227
h1,quadratic_recent,3,0.00851641069729659,60,-0.3425771758860634
h1,quadratic_recent,5,0.010062120570824342,60,0.17531485310751682
h1,quadratic_recent,10,0.01849230318582852,60,0.24193056654892986
h1,quadratic_recent,15,0.027503190248499027,60,0.381022243668653
h1,quadratic_recent,20,0.03679619660878718,60,0.4532447172111407
h1,quadratic_recent,30,0.05488775341914323,59,0.5497321426351685
h1,quadratic_recent,40,0.07201045366218772,49,0.4530780499085455
h1,quadratic_recent,50,0.10362515090701044,43,0.2591415169682475
h1,quadratic_recent,75,0.20419568719740283,27,-0.2913885949480164
h1,quadratic_recent,100,0.38396387696814854,9,-2.240688092683953
h1,ar2,1,0.003969806525017332,60,0.06633571860001586
h1,ar2,3,0.006279081742898995,60,0.27017566543737814
h1,ar2,5,0.009422513479876667,60,0.2768262167999438
h1,ar2,10,0.016271560147602934,60,0.4130712722281613
h1,ar2,15,0.02694059109039084,60,0.4060865826472715
h1,ar2,20,0.03795281550713417,60,0.41833206292188785
h1,ar2,30,0.06419153039306008,59,0.38414922138049756
h1,ar2,40,0.09820316386802722,49,-0.017150506214221872
h1,ar2,50,0.13473782309166799,43,-0.2525179505123176
h1,ar2,75,0.16674764966598218,27,0.1388411707897368
h1,ar2,100,0.21143462065821705,9,0.01732773469478399
