coord,model,horizon,rmse,n,skill
h0,persistence,1,0.0016172026244909094,60,3.823586847140348e-07
h0,persistence,3,0.003486870928707196,60,8.224854441962748e-08
h0,persistence,5,0.004999179141444932,60,4.0013135360617014e-08
h0,persistence,10,0.009683255671362011,60,1.0664910066182642e-08
h0,persistence,15,0.015259911019085333,60,4.294335775867353e-09
h0,persistence,20,0.020887394994691718,60,2.2920887410293744e-09
h0,persistence,30,0.03283470351992983,59,9.275424872612348e-10
h0,persistence,40,0.039308060744795495,49,6.471974067778774e-10
h0,persistence,50,0.04879375678752941,43,4.200214620553311e-10
h0,persistence,75,0.07372942980609033,27,1.83957848953753e-10
h0,persistence,100,0.07625919008178263,9,1.7195544987913536e-10
h0,const_velocity,1,0.0013334688587939023,60,0.3201130352128424
h0,const_velocity,3,0.0024513547687700582,60,0.5057569650195672
h0,const_velocity,5,0.003167368041800476,60,0.5985794105772895
h0,const_velocity,10,0.005211714801464653,60,0.7103200201787238
h0,const_velocity,15,0.007926328175972806,60,0.7302011496088202
h0,const_velocity,20,0.010431361604289615,60,0.7505902420833797
h0,const_velocity,30,0.01613027483798259,59,0.7586666532087745
h0,const_velocity,40,0.018845758287903636,49,0.7701396858264635
h0,const_velocity,50,0.027261090841663047,43,0.6878538767516778
h0,const_velocity,75,0.05173175316241353,27,0.5076968180982951
h0,const_velocity,100,0.05980133151029879,9,0.3850535046632665
h0,linear_recent,1,0.002924314714433995,60,-2.269784856073197
h0,linear_recent,3,0.0037757047096063545,60,-0.1725308125672227
h0,linear_recent,5,0.004440421141599373,60,0.211047408838124
h0,linear_recent,10,0.006453759519852682,60,0.5557957034110707
h0,linear_recent,15,0.00903714677484453,60,0.6492815062210038
h0,linear_recent,20,0.011971691473507157,60,0.6714946311862318
h0,linear_recent,30,0.018574654300807136,59,0.6799813560281007
h0,linear_recent,40,0.022286017922239446,49,0.6785586720656589
h0,linear_recent,50,0.030159666319235348,43,0.6179461767041273
h0,linear_recent,75,0.051802891773019714,27,0.5063419115969732
h0,linear_recent,100,0.051623497154333606,9,0.5417415661032461
h0,quadratic_recent,1,0.002620423156037941,60,-1.625510842278438
h0,quadratic_recent,3,0.0034922079923239576,60,-0.0030634941135199156
h0,quadratic_recent,5,0.004285919660339762,60,0.26499442156804354
h0,quadratic_recent,10,0.007028564315791737,60,0.4731458029181719
h0,quadratic_recent,15,0.010192978384719668,60,0.5538322224371828
h0,quadratic_recent,20,0.013468424808791617,60,0.5842186051418352
h0,quadratic_recent,30,0.020696148790578676,59,0.6027052033212703
h0,quadratic_recent,40,0.027808403021689024,49,0.49951754128998516
h0,quadratic_recent,50,0.040859391464133525,43,0.29877841834451924
h0,quadratic_recent,75,0.08222441099209966,27,-0.243711905548186
h0,quadratic_recent,100,0.1595967819878849,9,-3.379896858009089
h0,ar2,1,0.0013765860148288328,60,0.27543447687153455
h0,ar2,3,0.002583351517138699,60,0.4510974727030175
h0,ar2,5,0.0033523893647161834,60,0.5503117998387087
h0,ar2,10,0.005751585892111419,60,0.6471968799860413
