dataset,variant,n_regimes,recon_mean_r2,mono_viol_frac,rul_rmse,rul_r2,rul_nasa,base_rmse
FD001,full,1,0.9302633682605126,0.41251154201292706,14.507281845583346,0.8781255825296871,383.71683849377627,43.06703554245684
FD001,no_regime_norm,1,0.9259346594873543,0.453678054786088,14.36142707924351,0.8805638898545503,382.9219214325472,43.06703554245684
FD001,no_mono,1,0.9270298116315293,0.43782702369959986,14.347653833016945,0.8807928690666128,365.30888553288486,43.06703554245684
FD001,no_smooth,1,0.9306034931304031,0.44067405355494,14.58429817118483,0.8768281327402919,362.3736911488401,43.06703554245684
FD001,no_mono_smooth,1,0.9305018615889631,0.42297630040012313,14.546050855481038,0.8774733219634878,381.2148711967166,43.06703554245684
FD002,full,6,0.8529413186943589,0.4638622079924108,27.73068369219874,0.7341118185995519,9046.569002221258,54.0829823871006
FD002,no_regime_norm,6,0.999265961696178,0.4261532076366655,39.313979414525114,0.46559330390427733,49020.12188551255,54.0829823871006
FD002,no_mono,6,0.8540161450491479,0.4464603344005692,27.50982497453302,0.7383302412925772,8542.182976318916,54.0829823871006
FD002,no_smooth,6,0.8522234612625237,0.4544646033440057,27.455243356272035,0.7393675572509053,9010.157497575958,54.0829823871006
FD002,no_mono_smooth,6,0.854807137781926,0.49318154867781333,28.203957229929358,0.7249586606634274,9336.81991799591,54.0829823871006
