horizon,r2_manifold,r2_var,nrmse_manifold,nrmse_var,n_engines
1,0.9175781461776906,0.9742783646382186,0.17276957638071158,0.09651512285085714,20
2,0.9184119416688404,0.9631120493336275,0.17341407242048817,0.11660396074558639,20
3,0.9049273719826855,0.9375285043946195,0.19195719129995512,0.15560286495885722,20
4,0.911662069213552,0.9391011034154946,0.18351502087297017,0.1523711404960851,20
5,0.8879657297904596,0.9171740031193317,0.2070000275812626,0.17798290641530148,20
6,0.9071392394225595,0.9248636902609952,0.18569544509798272,0.16703599310570394,20
7,0.8972468486101419,0.9121648333478158,0.19425982703342093,0.17960550229787886,20
8,0.8968942559813379,0.913455389364557,0.19794373709283478,0.1813511647522214,20
9,0.8817288738936624,0.895057363931501,0.21522700922484334,0.20273717443463213,20
10,0.8800781055930403,0.8865568581809874,0.21509123816681225,0.2092004441648895,20
11,0.8779138307008185,0.8843727714865227,0.21866262194022276,0.21279987859282826,20
12,0.8752918345708873,0.8831288350329649,0.22031067721869485,0.21327590172288358,20
13,0.8638309673643418,0.8705572542986741,0.2309055311482211,0.22513033539581037,20
14,0.8633048660029687,0.8665390602978167,0.2308094669767668,0.22806265702512032,20
15,0.86046260595695,0.8682623258142361,0.23181662164984662,0.22524453582690204,20
16,0.8434862597171651,0.8610781423302252,0.24926935226689179,0.23484317386101683,20
17,0.8449615873196079,0.8571394702011043,0.24481304426555098,0.23500171188997837,20
18,0.8446361234287458,0.8578905193181383,0.24535817464245988,0.23465890172259843,20
19,0.8222354584114476,0.8410499911111956,0.26316855639471964,0.24885232794942744,20
20,0.8220988342823324,0.8521416606220664,0.26349248405757636,0.2402158982317401,20
21,0.8156971610688855,0.8390384476583834,0.2695388096132569,0.251893156969516,20
22,0.8229539267566858,0.8427200612592176,0.2571608003648835,0.24238083930255705,20
23,0.8273580983239202,0.8524580133638339,0.2577385781167391,0.23826713137065755,20
24,0.8281880037621856,0.8456327592959465,0.258662301056879,0.24517939297124372,20
25,0.827326361563592,0.8542708431557235,0.2618032105160856,0.24051112736958788,20
26,0.8175606172659675,0.8482203966104608,0.26913989759234497,0.24548530083580963,20
27,0.8073284069368628,0.8331733894395519,0.27749424251474,0.25821281703731735,20
28,0.8014495539765316,0.819160143099139,0.2800723675707038,0.26728950488877495,20
29,0.8030588488264994,0.8269317278242017,0.28099889802423716,0.26341779474480653,20
