dataset,n_regimes,n_informative,pca_rho1,pca_rho2,recon_mean_r2,recon_min_r2,rho_var,manifold_nrmse_max,var_freerun_norm,man_freerun_norm,var_freerun_growth,r2_manifold_h10,r2_var_h10,r2_manifold_h25,r2_var_h25,kappa,skill_cv_k10,skill_cv_k20,skill_ar2_k20,skill_cv_k50,threshold,rul_rmse,rul_mae,rul_r2,rul_nasa,base_rmse,base_nasa,thr_rmse
FD001,1,14,0.8091762576258794,0.9651398221504656,0.9302383428633528,0.8170069954852803,1.0196691762747014,2.165155756274068,3107.7992007612843,5.986921931884618,759.9455755488588,0.8769201498957351,0.8865547332894189,0.8207372232523907,0.8542811061275033,0.00037354975938796997,0.7103200201787238,0.7505902420833797,0.637158518364521,0.6878538767516778,0.5023001432418823,14.529265290721815,11.0183568389164,0.8777559406406982,380.8302803162321,43.06703554245684,33629.230598368384,39.458529766039106
FD002,6,15,0.5902229419387406,0.7948967741599242,0.8653205817002037,0.7576050234123785,1.0162511382366493,4.9887287230749475,882.5507455997408,2.2902026945044316,467.7246003786526,-0.4375713380347628,0.6423893187391645,-4.255732187904254,0.6651088560228029,0.0003620721399784088,0.519597099456113,0.6800064386565214,0.4204312299211451,0.5774746494871388,0.24302828311920166,27.021651765166915,18.61042369415886,0.7475347175123067,8692.13839222318,54.0829823871006,153229.25940403563,39.639911458564065
FD003,1,15,0.5193092189832984,0.8508643969426584,0.959564811950672,0.8796087427241303,1.0175646662430031,1.9560277812412468,152.82967476085565,4.331349881568921,57.62178853335837,0.9123178708181986,0.9101770909563264,0.8846331692977022,0.8503621837375721,0.0003091096878051758,0.35706501030270066,0.5222961581297821,-86433879251742.69,0.4266260384070215,0.6341713666915894,16.30944944489426,12.444130899952613,0.8447721091605394,615.1576693845011,45.06954844096662,57949.63715865418,87.14470724031379
FD004,6,15,0.522789537563382,0.8486201284837003,0.9296384229273074,0.8387343757615091,1.0145073139156078,1.9969871965937487,79.68982888338442,3.5825989861170813,25.03267258648845,0.8430626530763509,0.8782664529119614,0.7269293431135677,0.8098657661352244,0.0002887547016143799,0.02223448787091742,0.15699426559841778,0.26471836569018536,-0.21577137036161664,0.3619593679904938,27.57578435389495,20.19235100894073,0.7442099632612958,6088.451987937044,54.90195429215725,189682.81753731344,102.29450289522231
