model,skill_h1,nrmse_h1,skill_h10,nrmse_h10,skill_h25,nrmse_h25,skill_h50,nrmse_h50,freerun_growth,bounded
persistence,0.0,0.21061749756336212,0.0,0.5041945576667786,0.0,0.656632125377655,0.0,1.2758795022964478,1.0,True
cv,-1.5909360922637603,0.3390180262408104,0.1226148242629832,0.47227321561394553,0.32235175823490314,0.540535582220267,0.38923901613373113,0.9971151687295334,0.7595677432607068,True
var_sensor,0.0680464506149292,0.20332537591457367,0.2656667232513428,0.43206071853637695,0.549548327922821,0.44070324301719666,0.6372052431106567,0.7684934735298157,8.048247337341309,False
mlp_noctx,-1.5797459284133024,0.33828511911723463,0.22000355092609422,0.44528977320723856,0.5254641347074476,0.45230673795978565,0.6099281329073126,0.7968024459996638,4.262459970072155,True
mlp_ctx,-1.5773068203519778,0.33812509025281723,0.21284537666162065,0.4473173812173652,0.4563826808377778,0.4821704688845861,0.47733734176995757,0.9085111985628892,3.6613288471231336,True
