dataset,config,bounded_latent,mono_penalty,smooth_penalty,freerun_bounded,freerun_growth,latent_growth,latent_bounded,kappa,cv_skill_k20,recon_mean_r2,rul_rmse
FD001,unbounded_no_pen,False,False,False,True,1.2488144464754052,1.4210161250370312,True,0.013709895312786102,0.7688430139612317,0.9686457213625026,14.579769470780944
FD001,bounded_no_pen,True,False,False,True,1.2587461007371792,1.2130797186622553,True,0.0032071322202682495,0.7382719608563497,0.9686836600370662,13.965126900500742
FD001,bounded_smooth,True,False,True,True,1.328099292519342,1.2291258423535443,True,0.003069251775741577,0.7386962126341756,0.9686981004293994,14.177285288926438
FD001,bounded_mono,True,True,False,True,1.225913843746824,1.2407120527669613,True,0.0015456527471542358,0.757970055641701,0.9565257700692974,14.40850539535829
FD001,full,True,True,True,True,1.300667283422602,1.2416087873784825,True,0.0016335397958755493,0.7555714358282278,0.9684927650553243,14.908363025933525
FD002,unbounded_no_pen,False,False,False,True,1.8229732344048306,1.6026262790621313,True,0.0346299409866333,0.2764760431798573,0.9166535457085596,28.176134261529544
FD002,bounded_no_pen,True,False,False,True,3.365258945070573,0.4291771917306046,True,0.007573902606964111,0.5057762183967027,0.9147214507736353,27.431645144143538
FD002,bounded_smooth,True,False,True,True,3.845845217226449,0.7035212306071942,True,0.007374554872512817,0.6067644190888721,0.914647653408696,27.910867758904192
FD002,bounded_mono,True,True,False,True,1.8424700699770618,1.0668470102521659,True,0.0017577111721038818,0.6747239612242518,0.8912676726395025,27.056381709493174
FD002,full,True,True,True,True,2.3795674861851586,1.073290485633381,True,0.0019036978483200073,0.6756479592361961,0.9129433893744009,27.272349379201238
