dataset,model,recon_mean_r2,freerun_growth,freerun_bounded,rul_rmse,rul_r2
FD001,specialist,0.9483922339312949,1.5434254941222292,True,14.088979742183447,0.8850524960450659
FD001,generalized,0.8319212158065958,1.9017371756816417,True,15.601904284174303,0.8590400703721135
FD002,specialist,0.9254492270317103,3.5987786514369113,True,26.86918546708397,0.7503756876302339
FD002,generalized,0.8986418212999974,6.01602025645557,False,26.91790961370033,0.7494695373890763
FD003,specialist,0.9792106626362135,2.4743128646470804,True,16.999310146173755,0.8313626574606512
FD003,generalized,0.9216240662058345,3.433306215344439,True,17.355741724797277,0.8242167409560628
FD004,specialist,0.9534744409326444,1.6380585374531587,True,27.31285440842189,0.7490645290133779
FD004,generalized,0.9382558879829901,2.243944475206162,True,27.749278435543633,0.7409812129886428
