sensor,ceiling,test_std,informative,manifold_r2_k1,manifold_r2_k2,manifold_r2_k3,chosen_k,chosen_r2
s2,0.9457246253204059,0.5076637115632076,True,0.9470115219968581,0.9591206542487059,0.9539800108198904,2,0.9591206542487059
s3,0.9172099371709191,6.3127269853978865,True,0.9155598344789687,0.9383317924015674,0.9321146893548274,2,0.9383317924015674
s4,0.968739627921267,9.139335988979782,True,0.9646329965430505,0.9760502563585898,0.9683686855907156,2,0.9760502563585898
s6,0.0,0.001486569621189116,False,-3.394014928039936e+18,-1.9426304515877804e+18,-3.0477353406023096e+18,2,-1.9426304515877804e+18
s7,0.9653780079568407,0.9140634457187153,True,0.9600763552631294,0.9756345927627477,0.9687509790486634,2,0.9756345927627477
s8,0.9658667824785857,0.07233279695425807,True,0.9147861444733347,0.9794076692611047,0.9744879865745885,2,0.9794076692611047
s9,0.9892129878079573,19.550345660765565,True,0.6688606806162187,0.9926157190478682,0.9895673303512086,2,0.9926157190478682
s11,0.9769588198446396,0.2724757712904586,True,0.969344425792575,0.9826217440999861,0.9731639334481544,2,0.9826217440999861
s12,0.9724115631272295,0.7478046678561261,True,0.9680198637397386,0.9789973496871038,0.970330047921741,2,0.9789973496871038
s13,0.9654477978146616,0.072765332780542,True,0.9181520966224619,0.9804845140407548,0.9755717574060853,2,0.9804845140407548
s14,0.9886129702820186,16.82554983802832,True,0.646272710196391,0.9940673817689569,0.9915687927072546,2,0.9940673817689569
s15,0.954186323768228,0.03749319264067386,True,0.9485632765825882,0.9639609534258936,0.9574526815317776,2,0.9639609534258936
s17,0.8901053650877455,1.5586812470183629,True,0.8924664880412742,0.9143065007790767,0.9070612415357311,2,0.9143065007790767
s20,0.9494853474610057,0.18412880538486778,True,0.9491349333172371,0.9629869233788444,0.9596996046091414,2,0.9629869233788444
s21,0.9538215861823881,0.11158434259595534,True,0.9501346679440522,0.964205005894682,0.9586555337075424,2,0.964205005894682
