sensor,horizon,rmse,r2
s2,1,0.19150808953392046,0.9101424746533564
s2,10,0.23395372882683355,0.8756643995339519
s2,25,0.24348794639126842,0.8547127254898965
s2,50,0.38391423863616825,0.7517724236883627
s3,1,0.18691968224914499,0.8788354782349231
s3,10,0.21295114006932503,0.8707675058973182
s3,25,0.24491550587932992,0.8399789407863059
s3,50,0.41843800887640953,0.6117092646858875
s4,1,0.1570844320421303,0.9325993459631571
s4,10,0.16031235990521145,0.9318235835767904
s4,25,0.22777042158416233,0.8886688104755842
s4,50,0.4728227877494512,0.656437098041212
s6,1,0.08470071221709764,0.9921998400871835
s6,10,0.14537675924177354,0.9773650464667215
s6,25,0.15149686203917562,0.9760688631626938
s6,50,0.226778339915629,0.9526758237401494
s7,1,0.11656956402909725,0.9521190861549678
s7,10,0.15722148122857682,0.924232934802724
s7,25,0.20750146861060176,0.9210528126305432
s7,50,0.42305085116136487,0.8105574179638672
s8,1,0.17906819816480124,0.893312378789295
s8,10,0.26024660869660665,0.7828367641992816
s8,25,0.29441192610029515,0.8141667767544327
s8,50,0.6051872394535075,0.6364650329327118
s9,1,0.13201559324031245,0.9423098148045425
s9,10,0.1449267533611136,0.9412774285169638
s9,25,0.22930740317882783,0.895119168419434
s9,50,0.5594199206007695,0.7008642535888947
s10,1,0.236755122808651,0.8064137156953144
s10,10,0.250881379040147,0.8299768131388163
s10,25,0.28239851013693146,0.8152808775131362
s10,50,0.43722015713202067,0.7527454263960329
s11,1,0.13332449915648725,0.9574512741551559
s11,10,0.14477292709782147,0.95133462668881
s11,25,0.21519892308487468,0.9060405680533734
s11,50,0.494758293764049,0.6546695032827052
s12,1,0.1027139768489289,0.9613650945071472
s12,10,0.1458544983354885,0.9334319691740735
s12,25,0.19503003737460328,0.9275740813974609
s12,50,0.41479826090476324,0.8140989384767758
s13,1,0.16302128209244116,0.9091035564984078
s13,10,0.2752142644595531,0.7598521595760641
s13,25,0.3012561062094484,0.8107248431672924
s13,50,0.6247934716600899,0.6192745797728909
s14,1,0.12184714496622928,0.9586268871025974
s14,10,0.14772611479721706,0.9491685648064165
s14,25,0.242352741683433,0.8986530553495288
s14,50,0.5843731074805735,0.7184795230289507
s15,1,0.1206544031055282,0.9722234984958782
s15,10,0.12662733115265767,0.9744176679338514
s15,25,0.1594261869422868,0.9713428850637399
s15,50,0.33969561656721065,0.9305375178888923
s17,1,0.1859287490096358,0.896817092109033
s17,10,0.2196871534874812,0.8584475375921056
s17,25,0.24024568140086533,0.8515883422478903
s17,50,0.4290359789339316,0.6427400224197395
s20,1,0.20213293457169265,0.8586740338401537
s20,10,0.21965822057169526,0.8583521988785934
s20,25,0.24539007180987127,0.8819147307254435
s20,50,0.37455528438357405,0.8402972374015334
s21,1,0.2038194301591446,0.8679615063878139
s21,10,0.20000099751871162,0.8692396699096803
s21,25,0.22167778094645635,0.9051867088517346
s21,50,0.3499635497317321,0.8551827291797988
