model,skill_h1,nrmse_h1,skill_h10,nrmse_h10,skill_h25,nrmse_h25,skill_h50,nrmse_h50,freerun_growth,bounded
persistence,0.0,0.12221769988536835,0.0,0.3098420202732086,0.0,0.4733765125274658,0.0,0.9489675164222717,1.0,True
cv,-2.0523146406491866,0.21352501223948353,0.11630726311634842,0.29126678564664016,0.25029624905021997,0.4098751189763597,0.3007319979240347,0.7935479731971865,1.260067945990643,True
var_sensor,0.06784456968307495,0.11799898743629456,0.35186320543289185,0.24944435060024261,0.5543478727340698,0.31601282954216003,0.5636788606643677,0.6268368363380432,5.88230562210083,False
mlp_noctx,-2.047864086035784,0.21336928569902677,0.3205318345323021,0.25540232579421795,0.5894193496858479,0.3033232272740661,0.626185546970062,0.5802001886936957,3.860002446402079,True
mlp_ctx,-2.051019672089308,0.21347971006839297,0.3249313779480856,0.25457395809431865,0.5905377396554564,0.3028975881781923,0.6229274210383119,0.5826892239764395,3.8388034668390496,True
