dataset,n_regimes_heuristic,n_dynamic,n_informative,rho1,rho2,rho3,d90,d95,d99
FD001,1,14,14,0.8091762661933899,0.9651398658752441,0.9725901484489441,2,2,8
FD002,6,17,15,0.5902228355407715,0.7948966026306152,0.8673699498176575,4,7,9
FD003,1,16,15,0.5193092823028564,0.8508645296096802,0.9074125289916992,3,4,8
FD004,6,16,15,0.522789478302002,0.8486200571060181,0.9206692576408386,3,4,9
