model,skill_h1,nrmse_h1,skill_h10,nrmse_h10,skill_h25,nrmse_h25,skill_h50,nrmse_h50,freerun_growth,bounded
persistence,0.0,0.04276145622134209,0.0,0.10143031179904938,0.0,0.10453518480062485,0.0,0.13619525730609894,1.0,True
cv,-131.20415170085988,0.4916715082144689,-23.962536671730575,0.5067714245428857,-25.92455194362231,0.5424213125988512,-20.54647729266705,0.6321936380860876,0.9197174699089924,True
var_sensor,-0.15778779983520508,0.04601156339049339,-0.7247650623321533,0.1332087367773056,-3.17509126663208,0.2135971635580063,-7.903654098510742,0.406392902135849,1.6392072439193726,True
mlp_noctx,-131.16986678046604,0.4916077210146393,-23.06580506562875,0.4975824275784728,-23.131453916658927,0.5134714259359784,-13.674073691553906,0.5214026977030047,1.088418976040531,True
mlp_ctx,-131.16986678046604,0.4916077210146393,-23.06580506562875,0.4975824275784728,-23.131453916658927,0.5134714259359784,-13.674073691553906,0.5214026977030047,1.088418976040531,True
