k,recon_r2,recon_r2_min
1,0.45595730536965384,-0.08345903539777266
2,0.5184851535844389,0.02515684921684891
3,0.6992890376861196,0.028024358386727122
4,0.7426681802065668,0.32472732578921315
5,0.7487264628115169,0.23638870444505433
6,0.7375608895462583,0.3716010653937456
