model,skill_h1,nrmse_h1,skill_h8,nrmse_h8,skill_h24,nrmse_h24,skill_h48,nrmse_h48,freerun_growth,bounded
persistence,0.0,0.12777286767959595,0.0,0.5275834202766418,0.0,1.313090443611145,0.0,1.3930456638336182,1.0,True
cv,-3.9179628726419367,0.2833552364291799,-0.3194242819950741,0.6060149783437164,-2.2812521211864745,2.3785618458873325,-2.9766098840392696,2.7779334057119045,6.882211344339534,False
cv_damped,-3.9179628726419367,0.2833552364291799,0.12113582836574666,0.49459759727032804,-0.06108737534155395,1.352602609979642,-0.004102598238590716,1.3959002401679352,0.9999999600539651,True
holt,-6.5059674784299615,0.3500595733636353,-0.1288943895950032,0.5605544176636502,0.12995078278333605,1.2248038919653224,0.10319381283611295,1.3192121255030247,1.0000000094310828,True
trend_lw,-3.963465889443056,0.28466307786295303,0.051992548964033936,0.5136851341454948,0.06951724477662735,1.2666272051634477,-0.0815436757481629,1.4487297135266273,2.0719337208789432,True
cvd_anch,-0.07356423971265724,0.1323892245462708,0.010234398803531497,0.5248767072080073,-0.07410437812925741,1.3608739185576635,-0.03486385467224018,1.4171210388740103,0.9999999454796394,True
holt_anch,-2.3353405134599576,0.233350485789661,-0.22066132061703536,0.5828928307846866,0.1200227239937055,1.2317721371804786,0.07517709066239975,1.3396601109485475,0.9999999959277325,True
var_sensor,-0.10170328617095947,0.13411301374435425,-0.017489314079284668,0.5321769714355469,0.45261693000793457,0.9714944958686829,0.5235171318054199,0.9615879058837891,0.08347853273153305,True
mlp_noctx,-4.375539790432822,0.29624120084195366,-0.6239278240793046,0.6723079986755085,0.5634262869877114,0.8675858616252811,0.6101283489529173,0.869788037357497,0.22337516794560974,True
mlp_ctx,-4.324162156819481,0.2948230632762354,-0.6599154276951779,0.6796930067129009,0.5404813970483205,0.8899677797661485,0.5828452584630538,0.8995844104596283,0.9114098023549517,True
