k,recon_r2,recon_r2_min
1,0.5355762018542278,0.0019635804372589716
2,0.6571790543829535,0.0039416276720007914
3,0.7515520475952904,0.009482206426908224
4,0.7563983494963622,0.01112101221639028
5,0.7580910160629487,0.012714615758135706
6,0.758064972884602,0.00770939329994158
