dataset,lambda_mono,lambda_smooth_mean,lambda_smooth_std,recon_mean_r2_mean,recon_mean_r2_std,recon_min_r2_mean,recon_min_r2_std,kappa_mean,kappa_std,mono_viol_frac_mean,mono_viol_frac_std,freerun_growth_mean,freerun_growth_std,cv_skill_k20_mean,cv_skill_k20_std,rul_rmse_mean,rul_rmse_std,rul_r2_mean,rul_r2_std,bounded_mean
FD001,0.0,2.0,0.0,0.9686846599085239,0.00011820356799605689,0.915154930125258,0.00016953703296022522,0.0028556237618128457,0.00024100054653132291,0.348559670781893,0.030119746111601994,1.365560411976288,0.06450827424978788,0.7348371311290061,0.014767291819923551,14.93557354460957,0.4571247530865295,0.8707426051163923,0.007873311780226398,1.0
FD001,1.0,2.0,0.0,0.9686022842690454,0.00031326480541179526,0.9146055637712799,0.000978076231088557,0.0015423993269602458,0.00014151073595482347,0.3474074074074074,0.026385116328416558,1.1882115243326854,0.16196255503210172,0.7485640660036431,0.020072216761894142,14.665964719022162,0.2932492541556963,0.8754116401012687,0.0049895831064238165,1.0
FD001,5.0,2.0,0.0,0.9687462459764191,2.560304841378892e-05,0.9135151987252694,0.0015850681374913044,0.0006184329589207967,0.00011186022279011576,0.3613991769547325,0.022119561679448386,1.1618374017916302,0.1762413016426981,0.7505297661685809,0.018478892651458682,14.469307537127932,0.5409470771279313,0.8786498163512234,0.009116892668841078,1.0
FD001,10.0,2.0,0.0,0.9683812689775367,0.0002981247140979953,0.9122454646799895,0.00015342877764427254,0.0003454176088174184,3.947245075489953e-05,0.3502880658436214,0.004745196808361981,1.1527828732653338,0.04012982604084572,0.7688110583714377,0.006682712859444882,14.624115203015194,0.5589854288993268,0.8760340356460375,0.009516091324162547,1.0
FD002,0.0,2.0,0.0,0.9185340265561907,0.004954661167798656,0.8453228202784527,0.004718410660002886,0.0058015187581380205,0.0021931577556001973,0.4158937811188128,0.027093563281600126,1.3018561506598356,0.14236849337096022,-0.09174029844013572,1.090549401288624,28.035903979782244,0.3437989075128779,0.728199317198997,0.006679671567810927,1.0
FD002,1.0,2.0,0.0,0.9180786239584512,0.0019685317400581796,0.8445610504141171,0.0038781970705522324,0.0024106005827585855,0.0004798667860199799,0.4069120374890169,0.019463927034272265,1.930906818023524,1.1529980189264748,0.285648094047171,0.44146074886811043,27.627486521711337,0.25543201588187514,0.7360720531857252,0.004892360662620849,1.0
FD002,5.0,2.0,0.0,0.9142383650814715,0.0015038894304823971,0.8445453969738655,0.0005624643548592707,0.0015269418557484944,5.491943258298517e-05,0.3943831559764392,0.010266387812390481,2.0391740695753726,0.49177512370984444,0.6516930234269132,0.030521247778580247,27.08235245717225,0.2588262330993852,0.7463837394654794,0.004841907946023805,1.0
FD002,10.0,2.0,0.0,0.9109290702720899,0.00319221816845672,0.8091262324846097,0.059886377654601856,0.0008445481459299723,0.00016946331749701356,0.40290930391486873,0.015816582934166153,1.5907016612716471,0.1766305627110572,0.549914819338638,0.20271634544738606,27.282051261688334,0.2872050303216038,0.7426263948595925,0.005424303517284708,1.0
