sensor,horizon,rmse,r2
capacity,1,0.005378277098151661,0.9998408813041398
capacity,5,0.02535676428555199,0.9964589028245494
capacity,15,0.041427356826339426,0.990263978523275
capacity,30,0.33727623007610774,-0.07242684143158096
discharge_time,1,6.704199620641976,0.999886959368776
discharge_time,5,24.648866271128522,0.9984776933468297
discharge_time,15,65.76844789664196,0.9899410892289171
discharge_time,30,1061.5027891221757,-0.6710654445182673
v_mean,1,0.001920853461765661,0.999936374687597
v_mean,5,0.004770963324571754,0.9996076397890801
v_mean,15,0.019805311234069752,0.9926897702646373
v_mean,30,0.14028144131741832,0.46125079593446683
v_min,1,0.011521176815015735,0.9982429439051468
v_min,5,0.02056393355222564,0.9945779013694065
v_min,15,0.02498488164695167,0.9921063055541455
v_min,30,0.014409109389821814,0.9972483496912049
v_start,1,0.00035610624333054215,0.9981634858242432
v_start,5,0.002087502546660569,0.9407740026689788
v_start,15,0.0020223736315717576,0.9395756599326636
v_start,30,0.0017311257752394425,0.9549430555365532
v_end,1,0.0017003162681535212,0.9999054376422873
v_end,5,0.008975986174707297,0.9972832497238249
v_end,15,0.01839644614188775,0.9879703532763371
v_end,30,0.21764311938340514,-0.8259309669586268
i_mean,1,0.004475921918943825,0.9999082901790247
i_mean,5,0.011844118660283454,0.9993521748533027
i_mean,15,0.05325416607202824,0.9846802072499364
i_mean,30,0.16853295806262347,0.7813737515889612
t_mean,1,0.06629550214493612,0.99997001733933
t_mean,5,0.2559652276778234,0.9995608316504244
t_mean,15,0.52789683216329,0.998172079545824
t_mean,30,0.52765425239396,0.9981286637549323
t_max,1,0.07749398537681075,0.9999773580384733
t_max,5,0.3753200971065218,0.9994797518123553
t_max,15,0.7149358127229536,0.9981461606846309
t_max,30,0.7827887898715099,0.9976871020084586
knee_time,1,6.776258333366334,0.9999412843845646
knee_time,5,29.033323247068907,0.9988827772350832
knee_time,15,97.75638733860582,0.9866500748391351
knee_time,30,1186.6676341965212,-0.12588599926469302
