k,recon_r2,recon_r2_min
1,-0.2467976981034004,-3.249005526464895
2,0.0054190757056986946,-2.9574096573838715
3,0.1959553329421857,-2.4007291044152232
4,0.46256351588426714,-0.4331524760149932
5,0.549408868517847,-0.1059150503572035
6,0.5369621276215333,0.22781664147473024
