epoch,train_loss,test_loss
1,0.7148401507883657,0.7199091084673636
2,0.7146228341452654,0.7199794568931438
3,0.7145826381021281,0.7203934436680405
4,0.71450735704438,0.7202341480656772
5,0.7145808404677906,0.7205605891028768
6,0.7144912620507498,0.7200073192915883
7,0.7145592245590566,0.7198324083231105
8,0.7144875567742319,0.7201878850537112
9,0.7145155732585441,0.7199690780957229
10,0.7146395120699297,0.7202437567313902
11,0.7144337665920903,0.7195731369918987
12,0.7144623276976718,0.7199014384412625
13,0.7144426118351228,0.7202795292091183
14,0.7145490044916032,0.7201490497962735
15,0.7144384657136356,0.7198754206927352
16,0.7144326695252415,0.7199210414223293
17,0.71444174611272,0.7203964544907139
18,0.7144760556726055,0.7199423767327094
19,0.7144082306677602,0.7199097025289358
20,0.7145955498047336,0.7199279796131444
21,0.7144503328962124,0.7200046399431294
22,0.7143936499952364,0.719591537255148
23,0.7144411678204617,0.7200026814547622
24,0.7144498053369402,0.7199728233223447
25,0.7144036732263868,0.7195626914092539
26,0.7144629300535794,0.7200548307902666
27,0.7144096696123843,0.7202688803518671
28,0.7144040108495348,0.7201228314585597
29,0.7144245663196285,0.7201107327081081
30,0.7144439060245741,0.7201437069783598
31,0.7145513298374226,0.7208032438734019
32,0.7144153663515863,0.72016691717882
33,0.7143791229984221,0.7200449779848628
34,0.7143481801134145,0.719870765225544
35,0.7144219329663452,0.7201276062517978
36,0.7143933350658492,0.7206121302491654
37,0.714420820653145,0.7202622007786585
38,0.7143721787800664,0.7209367568766102
39,0.7144503842271657,0.7199773856171432
40,0.7144169356131935,0.7200270888854428
41,0.7144426697147228,0.720362619251509
42,0.7144267222704029,0.7203355644638928
43,0.7144269948129763,0.719884764202428
44,0.7144428035995768,0.7198416605285286
45,0.7143830836250505,0.7199183749171826
46,0.7145662225328506,0.7202347540365027
47,0.7144350393163315,0.7196645064171802
48,0.7143948573054909,0.7200712084653446
49,0.7143889238981227,0.7201359597756276
50,0.7143887787950418,0.7199400700738218
