dataset,k,recon_mean_r2,recon_min_r2,freerun_norm,freerun_growth,freerun_bounded,nrmse_h1,nrmse_h10,nrmse_h25,nrmse_h50,kappa,rul_rmse,rul_r2
FD001,1,0.8880315658006214,0.6342616379608061,2.7089043082600823,0.7232148786145169,True,0.23466576418685797,0.26665017160884197,0.288406071260302,0.4398893665876175,0.001992497593164444,16.794247674123614,0.83667165433927
FD001,2,0.9684927650553243,0.9138342336708086,5.215652481787838,1.300667283422602,True,0.17312531494680627,0.21723945059973201,0.2663133154386824,0.4649076598877147,0.0016335397958755493,14.908363025933525,0.8712935313048409
FD001,3,0.9686815350176696,0.9155173028863056,5.521799889451624,1.365132101616832,True,0.17354815079906039,0.22132190641464353,0.2768967523908157,0.4852863751912523,0.00019380450248718262,13.72394640183761,0.8909317154922922
FD001,4,0.9748317960546571,0.9409924350745927,5.241373316243182,1.284201051507554,True,0.17755369222827144,0.23774453886518954,0.30709514519781383,0.5608771109741966,3.984570503234863e-05,16.840485778399657,0.8357710615483178
FD001,5,0.9687707892764433,0.915583249804401,5.4487932878158105,1.3450625790870128,True,0.17292302214193964,0.2194585227720973,0.27304829741013464,0.47877465226832283,8.374452590942383e-06,14.820922843745256,0.8727988761049184
FD001,6,0.9752806727710659,0.9427176065298238,4.196249675035532,1.0289636698203681,True,0.17509369576772865,0.23614815238989353,0.30289929892049217,0.5546554745183551,2.434849739074707e-05,16.886889190294937,0.8348647596058787
FD002,1,0.807618167647406,0.5489364702406847,1.3910159607732306,0.8422073363222053,True,0.3966676787874713,0.419427462480721,0.4629384080489093,0.7225391289939106,0.0019907504320144653,29.155864553365873,0.7060796017938378
FD002,2,0.9129433893744009,0.8226023267459444,4.017088115113912,2.3795674861851586,True,0.30608567471497766,0.4152070910989934,0.5229169514978753,0.8864440701200734,0.0019036978483200073,27.272349379201238,0.7428284140421478
FD002,3,0.9302992045308048,0.8477814805734227,8.349638987781617,5.19562497726981,False,0.2799896168195409,0.43936090552244467,0.5983241730505768,0.9349817597923396,0.0014923810958862305,27.640078953761734,0.7358464583550575
FD002,4,0.9256649704017357,0.8478926317400103,14.049624370846805,8.615244376659954,False,0.28558034345218736,0.440620986273604,0.6010115530615759,0.941817808313166,1.633167266845703e-05,27.41631598531176,0.7401061078508284
FD002,5,0.9307154427569285,0.8481882958674236,9.275396842468997,5.806174454517714,False,0.2796323854477474,0.45479364126798066,0.6122836640018389,0.9580245709979024,3.0159950256347656e-05,28.00752924080052,0.7287764004158925
FD002,6,0.9318616704398816,0.8504367326683095,9.522406788165243,5.821383595552296,False,0.2781483134702112,0.4572725210220804,0.6170056579735254,0.9451913292683946,2.54213809967041e-05,29.015252097492933,0.7089077949918137
FD003,1,0.9467057612982643,0.8174212124468049,2.176820963133518,0.8404156604759806,True,0.18759275978103795,0.20090379147753482,0.22481098567049929,0.32416784518925357,0.0009407177567481995,19.455057342237,0.7791201060332194
FD003,2,0.9797533835261925,0.9392348451690501,6.653608841096063,2.620313387296256,True,0.12712175761475722,0.15841414714461896,0.17893742068492816,0.29487423563134163,0.0008329898118972778,17.27151691493489,0.8259187007831466
FD003,3,0.9818311831651104,0.9409344729693192,3.3887959609125944,1.2951039506390822,True,0.12357238730499669,0.16048315508167713,0.19600467624928095,0.32493932651897967,0.000730462372303009,17.382086572908477,0.823682681612016
FD003,4,0.983041070032929,0.9460880377994024,4.900764147929032,1.8486211375981325,True,0.1217809070396097,0.16546088381528545,0.21568113058691862,0.36849042442985996,0.00028701499104499817,16.81924220769702,0.8349163721744377
FD003,5,0.9828777523142376,0.9442490406887504,6.5873972402904934,2.4610607369982715,True,0.12188344471553346,0.16480157868607045,0.20792531835490768,0.351720488845862,3.731250762939453e-05,16.611320342888447,0.8389727182542391
FD003,6,0.9829857140751569,0.9477182575437599,5.147513187773433,1.9054486337899346,True,0.12119413037226401,0.16529808811424598,0.21469058468672902,0.3717364192756233,4.0978193283081055e-06,16.980341038978114,0.8317388039058853
FD004,1,0.876414249425618,0.7463943067369339,2.8329160570860434,0.9072798133893412,True,0.25244088294550293,0.2789097588972769,0.331693799591699,0.5125021214580993,0.0011339783668518066,29.49056009754686,0.7074541660637381
FD004,2,0.9556264608262924,0.9153936818919024,3.2710932727687325,1.0502663302988615,True,0.18956883821095027,0.2325881594569588,0.3163179186086743,0.5140999564657147,0.0010475367307662964,27.615084469927382,0.7434803563497183
FD004,3,0.9614129624191246,0.942406923296426,4.295935818513478,1.3567364210441113,True,0.181893839460664,0.23897972283115976,0.34353224717839187,0.5870166810889125,0.001119658350944519,27.03208222919008,0.7541971717468784
FD004,4,0.9592602082825435,0.9427671638376217,3.5231583777888167,1.2186489411798287,True,0.19030916913111545,0.2519916712450009,0.360822767569964,0.6152271900670244,5.8710575103759766e-06,27.60964729129116,0.7435813595402847
FD004,5,0.9638340931717211,0.9406933006460391,6.698676470265184,2.0863192204612457,True,0.1765499450977439,0.24588270418287994,0.36341162375993946,0.6222786624979405,1.7821788787841797e-05,27.444131099217763,0.7466465360774708
FD004,6,0.9679936828904522,0.9413344544549066,6.386329415799579,2.0100758582376765,True,0.17375147778575648,0.256767058761908,0.385707708591025,0.6732119984624163,8.016824722290039e-06,27.90840799209352,0.7380019840478855
