dataset,variant,bounded_latent,recon_mean_r2,recon_min_r2,mono_viol_frac,kappa,freerun_growth,freerun_bounded,nrmse_h1,nrmse_h10,nrmse_h25,nrmse_h50,cv_skill_k20,rul_rmse,rul_mae,rul_r2,base_rmse
FD001,full,True,0.9684927650553243,0.9138342336708086,0.3493827160493827,0.0016335397958755493,1.300667283422602,True,0.17312531494680627,0.21723945059973201,0.2663133154386824,0.4649076598877147,0.7555714358282278,14.908363025933525,11.215497104205335,0.8712935313048409,43.06703554245684
FD001,no_regime_norm,True,0.9684927650553243,0.9138342336708086,0.3493827160493827,0.0016335397958755493,1.300667283422602,True,0.17312531494680627,0.21723945059973201,0.2663133154386825,0.46490765988771476,0.7555714358282278,14.908363025933525,11.215497104205335,0.8712935313048409,43.06703554245684
FD001,no_mono,True,0.9686981004293994,0.9150295930830997,0.3592592592592593,0.003069251775741577,1.328099292519342,True,0.17300699336971162,0.2196060257733737,0.27280204686080556,0.47797255509824893,0.7386962126341756,14.177285288926438,10.632078387381831,0.8836070667040464,43.06703554245684
FD001,no_smooth,True,0.9565257700692974,0.9041139404955145,0.34469135802469136,0.0015456527471542358,1.225913843746824,True,0.21181322369897035,0.2410572881175452,0.31213179529966156,0.5351362147439425,0.757970055641701,14.40850539535829,10.707885728104854,0.8797795573400163,43.06703554245684
FD001,no_mono_smooth,True,0.9686836600370662,0.915023810970951,0.3595061728395062,0.0032071322202682495,1.2587461007371792,True,0.17311869507649733,0.2195447533916925,0.2723648962585825,0.4774584475710858,0.7382719608563497,13.965126900500742,10.56102018091434,0.8870645650678606,43.06703554245684
FD001,bounded_no_pen,True,0.9686836600370662,0.915023810970951,0.3595061728395062,0.0032071322202682495,1.2587461007371792,True,0.17311869507649733,0.2195447533916925,0.2723648962585825,0.4774584475710858,0.7382719608563497,13.965126900500742,10.56102018091434,0.8870645650678606,43.06703554245684
FD001,unbounded_ae,False,0.9686457213625026,0.915255241672273,0.33209876543209876,0.013709895312786102,1.2488144464754052,True,0.1729649665607414,0.21985377343124593,0.27373455363043486,0.4790422785067445,0.7688430139612317,14.579769470780944,10.988608010256762,0.8769046152522946,43.06703554245684
FD002,full,True,0.9129433893744009,0.8226023267459444,0.38670311432197596,0.0019036978483200073,2.3795674861851586,True,0.30608567471497766,0.4152070910989934,0.5229169514978753,0.8864440701200734,0.6756479592361961,27.272349379201238,18.8947822941402,0.7428284140421478,54.0829823871006
FD002,no_regime_norm,True,0.9987471997781627,0.9987471997781627,0.44215561847115104,5.888938903808594e-05,1.6535866819463754,True,0.01818543320617606,3.0400705342735113,10.759580406766307,12.66373596844926,-0.12891794653097222,40.4805621146145,31.276434998950094,0.43340733444424695,54.0829823871006
FD002,no_mono,True,0.914647653408696,0.8297198851876182,0.3857268378404764,0.007374554872512817,3.845845217226449,True,0.30670328051937157,0.425305596071849,0.5559035330553316,0.9531996027678484,0.6067644190888721,27.910867758904192,19.523516586008213,0.7306453003183855,54.0829823871006
FD002,no_smooth,True,0.8912676726395025,0.8191177416825044,0.3848481890071268,0.0017577111721038818,1.8424700699770618,True,0.34336441905823734,0.4503170143053379,0.5645266349023473,0.9385532375922342,0.6747239612242518,27.056381709493174,18.72764888054096,0.7468853316091493,54.0829823871006
FD002,no_mono_smooth,True,0.9147214507736353,0.8370494440574522,0.3839695401737772,0.007573902606964111,3.365258945070573,True,0.3062635956806916,0.42895181447788217,0.5693063823780691,0.9667540969695758,0.5057762183967027,27.431645144143538,19.23426680976813,0.7398154000460702,54.0829823871006
FD002,bounded_no_pen,True,0.9147214507736353,0.8370494440574522,0.3839695401737772,0.007573902606964111,3.365258945070573,True,0.3062635956806916,0.42895181447788217,0.5693063823780691,0.9667540969695758,0.5057762183967027,27.431645144143538,19.23426680976813,0.7398154000460702,54.0829823871006
FD002,unbounded_ae,False,0.9166535457085596,0.8457353538160599,0.3848481890071268,0.0346299409866333,1.8229732344048306,True,0.3077312883667562,0.4719026922728526,0.7346228554545566,1.322246869999572,0.2764760431798573,28.176134261529544,19.89544237023571,0.7255010449737911,54.0829823871006
