sensor,horizon,rmse,r2
s2,1,0.17576006999952032,0.8822527461603723
s2,10,0.18430709794556874,0.8866049504937525
s2,25,0.23450058460802664,0.8143618764213129
s2,50,0.40006869025588726,0.5773956033113342
s3,1,0.18248631350624672,0.8607301150569919
s3,10,0.26150897387754585,0.7486336172532551
s3,25,0.2508042869067371,0.7586897062128924
s3,50,0.432277571975062,0.5417681425071215
s4,1,0.13555096299172673,0.937932515033625
s4,10,0.17736490116084594,0.9001437175215966
s4,25,0.22058804581745003,0.8526307974620346
s4,50,0.42058912079405075,0.6340967027854771
s7,1,0.14304223491196197,0.935837555564722
s7,10,0.16555163329850847,0.9140395066349571
s7,25,0.23634715260271583,0.8319696946144901
s7,50,0.4753639100222973,0.5036646689713775
s8,1,0.15265925160669275,0.9441638891358614
s8,10,0.16590092284858143,0.9343765123704423
s8,25,0.2465157232912133,0.8591558418959819
s8,50,0.513767233089183,0.6035167802595106
s9,1,0.06519065740597695,0.98280865010876
s9,10,0.08943617455460016,0.9742553519424322
s9,25,0.21001040583897046,0.9113300093647863
s9,50,0.5257443509034144,0.7690797845500231
s11,1,0.12148942049968382,0.9514640333480738
s11,10,0.1494012960337789,0.9278668299933506
s11,25,0.22587968813546677,0.8422931428670818
s11,50,0.44937952243358736,0.5898868445405269
s12,1,0.14995697264464353,0.9329463228496667
s12,10,0.16044635488598452,0.9182571807367128
s12,25,0.21851538181568583,0.8710070300961562
s12,50,0.49024301217150285,0.5118843870249643
s13,1,0.14399437130257492,0.9497609171174547
s13,10,0.19745283425358967,0.9072629819693442
s13,25,0.2275145680176266,0.885700859417116
s13,50,0.469069051154294,0.648254497360705
s14,1,0.05977421275415262,0.9876658604187855
s14,10,0.10632849343640029,0.9663901339373409
s14,25,0.20630460465361428,0.9179487356748317
s14,50,0.5466607008958199,0.7694133213517792
s15,1,0.15558661179068906,0.9157045678203612
s15,10,0.19413924816026673,0.8656421759735762
s15,25,0.23740658554360383,0.8049248068885637
s15,50,0.4095813201727529,0.6122782851381983
s17,1,0.2672912557736089,0.7652950934772051
s17,10,0.22423287773670442,0.8086791393896007
s17,25,0.29317253359432677,0.7017959722477011
s17,50,0.41438779161595823,0.5503846891726314
s20,1,0.1679766285014193,0.9103171910938175
s20,10,0.1781572218316021,0.8834103239783929
s20,25,0.22084809273719047,0.8354281468721886
s20,50,0.40814263901818926,0.632045127977267
s21,1,0.18786338676409892,0.8606332627679142
s21,10,0.2004466191414607,0.8611747841981271
s21,25,0.21389901453384758,0.8222861665760144
s21,50,0.4308519165901983,0.586856494269536
