model,skill_h1,nrmse_h1,skill_h10,nrmse_h10,skill_h25,nrmse_h25,skill_h50,nrmse_h50,freerun_growth,bounded
persistence,0.0,0.11692658066749573,0.0,0.2784331142902374,0.0,0.5081737041473389,0.0,1.1582963466644287,1.0,True
cv,-1.9907428360546582,0.20221007538777566,0.2965344670615315,0.23352979154155315,0.6351181448916943,0.30696462393878393,0.6600399897749609,0.6753573224126734,1.7765482255018352,True
var_sensor,0.0605960488319397,0.11332857608795166,0.35356605052948,0.22386331856250763,0.5982707738876343,0.3220912516117096,0.6525660753250122,0.6827406883239746,8.893964767456055,False
mlp_noctx,-1.9880077085504837,0.20211758931085044,0.31991698622708,0.22961583693796395,0.6593979655286265,0.29655113720830867,0.7448440696746141,0.5849202846068692,5.917724155279849,False
mlp_ctx,-1.987414944198355,0.2020975403896764,0.3215821970037702,0.22933414091558083,0.6519767955298191,0.29978914188183947,0.7383447438148675,0.5924640718469895,6.068901411992493,False
