k,recon_r2,recon_r2_min
1,0.80501496535641,0.032043097913347696
2,0.9554227252761646,0.8877568656949917
3,0.9581334140067325,0.8920198583958434
4,0.9569776218054137,0.8918070023476463
5,0.9578572224734335,0.8928975119421766
6,0.957902460631545,0.8931210246628094
