dataset,model,rho,freerun_norm,freerun_growth,bounded,nrmse_h1,nrmse_h10,nrmse_h25,nrmse_h50
FD002,manifold,,2.263763274883319,1.5032939883019185,True,0.29700684283195433,0.5188088888686176,0.947096013399081,1.452505432340521
FD002,var1,1.0162511382366493,882.5507455997408,467.7246003784047,False,0.17807163663576422,0.3351913787499643,0.32589721701426533,0.5103819001924484
FD002,var2,1.0163058682122244,897.8431873718273,476.28945200891485,False,0.17817843492421567,0.3364578414423848,0.32741732787760114,0.5128651149089013
FD002,lstm,,8.997789088895122,4.741036512751752,True,0.18489787297096572,0.4359799829235782,0.9317494495891072,2.124560122540011
FD002,gru,,24.361517419703805,13.01230237629356,False,0.18128006794867751,0.34708347738448336,0.437490768885811,0.8746142316081812
FD003,manifold,,3.278615377278197,1.2666435738864148,True,0.12419788129368083,0.158899123316724,0.18571387083701435,0.31168138187900024
FD003,var1,1.0175646662430031,152.82967476085565,57.62178853333664,False,0.0805770891447461,0.1589734675392421,0.21335132634026838,0.38073688058200805
FD003,var2,1.0176363283851615,149.51741064512115,56.56167184306882,False,0.0792107738669013,0.15868755418474084,0.21134037571595468,0.37937736196154637
FD003,lstm,,2.3892639778697036,0.9041283177407287,True,0.07908074642136115,0.16253554067844428,0.27365887874123834,0.5311702096594979
FD003,gru,,4.091772894270071,1.545504592266711,True,0.07983499970449986,0.17648169316554813,0.28935450802582974,1.1731193001354268
FD004,manifold,,2.612618064075913,0.8474380117290734,True,0.18791145511487725,0.23632384501077208,0.33874731009880904,0.5614224372251942
FD004,var1,1.0145073139156078,79.68982888338442,25.032672586480583,False,0.1007977702699806,0.20796042394693579,0.2715155946721483,0.38543777478634383
FD004,var2,1.0146704175773613,85.72795501517544,26.971101221417655,False,0.09925656164013978,0.2077811052637522,0.27018175216928897,0.3850224898585516
FD004,lstm,,10.946744739529441,3.4227619177863455,True,0.10024552393053777,0.21055777389733907,0.3050549413483678,0.6189596376024724
FD004,gru,,6.194849822399226,1.9424298490349332,True,0.10055708094379713,0.21179283243919406,0.3252587206765432,0.7152714520043063
