model,rho,recon_mean_r2,recon_min_r2,freerun_growth,bounded,skill_h1,skill_h8,skill_h24
manifold_bounded,,0.8063626599128001,0.7298924689366086,9.517461332779735,False,-0.33858587574780397,-0.7066166944973187,-2.6886754902156245
ae_unbounded,,0.8349931838313364,0.7410474609774811,4.860214742650747,True,,,
var_sensor,0.9955897119854423,,,0.01383459469418806,True,,,
