k,recon_mean_r2,recon_min_r2,freerun_growth,freerun_bounded,kappa,rul_rmse,rul_r2
1,0.39259490310630163,-0.49417080642304634,1.0017874612233333,True,0.001165546476840973,35.9977739926886,-1.4906951638787587
2,-0.6628827923695868,-4.684317711443825,2.030426320154377,True,0.001653432846069336,34.54612774357223,-1.2938659498112237
3,0.8246847433249137,0.4496110659787005,1.618124883405052,True,0.0023627281188964844,19.374374472707608,0.2785193883039727
4,0.8326761999479658,0.6714644030316315,1.4918149838365453,True,0.0006671994924545288,20.295861647648554,0.2082569258596454
5,0.7918442198242367,0.560736376369483,1.4874902478958398,True,0.0008426904678344727,26.38070309038216,-0.33764853315812293
6,0.8148960104619398,0.6161732461612873,1.5646587428012133,True,0.0005359277129173279,20.30129697072314,0.20783280436069906
