model,rho,recon_mean_r2,recon_min_r2,freerun_growth,bounded,kappa,mono_viol,rul_rmse,rul_r2,base_rmse
manifold_bounded,,0.8247228447234842,0.13488948357381214,3.4782546119687914,True,0.001283019781112671,0.17834394904458598,16.192379179987807,0.8212319476078391,38.297084310253524
ae_unbounded,,0.8066229915642211,0.22882306210439096,2.9203020823777823,True,0.0024873241782188416,0.2754777070063694,,,
var_sensor,1.0322794837891787,,,796.7073330735662,False,,,,,
