model,skill_h1,skill_h8,skill_h24,skill_h48,skill_h24_std,nrmse_h1,nrmse_h48,freerun_growth,bounded,lat_max_norm,sat_frac,n_params,train_s
persistence,0.0,0.0,0.0,0.0,0.0,0.06369306147098541,0.8172879219055176,1.0,True,,,0,0.0
cv,-79.7537668013347,-0.8627740238275319,-0.5251762454030848,0.08911913538079252,0.0,0.5723655694320235,0.7800202506718236,1.2533747341707322,True,0.5135565418558221,0.0,0,0.0
ar1,-77.14536766779673,-0.6557301122757753,-1.4155525332984404,-1.4634838233066492,0.0,0.563045803182709,1.2827734006820226,1.4734082649036304,True,0.4705340266227722,0.15159574468085107,0,0.0
var_sensor,-5.0248799324035645,-2.170424222946167,-4.213896751403809,-4.067152500152588,0.0,0.156338632106781,1.839742660522461,1.8128241300582886,True,,,0,0.0
mlp_noctx,-78.27851147184737,-0.5957759327592124,-0.015116906096732627,0.509035623179363,0.05429683772444969,0.5671132958403989,0.5722455825086693,1.6075962731921045,True,0.688513457775116,0.0,4482,8.53
mlp_ctx,-78.27851147184737,-0.5957759327592124,-0.015116906096732627,0.509035623179363,0.05429683772444969,0.5671132958403989,0.5722455825086693,1.6075962731921045,True,0.688513457775116,0.0,4482,7.75
mlp_ctx_noproj,-78.34529449107953,-0.6000110114483524,-0.024653975525226152,0.49576057579244964,0.05219348383919574,0.5673515626695268,0.579966658004368,1.2886038655844028,True,0.6491414904594421,0.0,4482,7.81
mlp_ctx_onestep,-78.2178972279995,-0.5574622733373481,0.035652745974748025,0.502762331518677,0.026141009397061373,0.5668964724405201,0.5756871053899238,2.4191111688593474,True,0.7571485638618469,0.0,4482,0.95
sensor_mlp_ctx,-0.7796908219655355,-0.061520914236704506,-0.3778890570004781,-0.09674485524495442,0.2825185337381172,0.08494413644075394,0.843936542669932,2.184572458267212,True,,,8739,12.93
