dataset,variant,seed,recon_mean_r2,freerun_norm,freerun_growth,freerun_bounded,kappa,cv_skill_k20,rul_rmse,rul_r2
FD001,full,0,0.9686629283642914,5.271864867878191,1.3108660784519344,True,0.0010507702827453613,0.730594454675259,14.9938096141364,0.8698139530946811
FD001,full,1,0.9686691215054385,3.1891357604344845,0.792380050807887,True,0.001205436885356903,0.7809948616675174,14.45030213784094,0.8790810656028165
FD001,full,2,0.9459493436226067,4.65713453554623,1.0484521240911775,True,0.0007615610957145691,0.7765552050632667,13.723997591869832,0.8909309018459477
FD001,full,3,0.9684678127720376,3.9823791845696555,0.9796350800448561,True,0.0006213486194610596,0.7631139537759566,14.45274152570294,0.8790402369647493
FD001,full,4,0.9684715471886257,5.19587791338877,1.272795968669935,True,0.0007731243968009949,0.7839113796876231,14.35041237140069,0.8807470261626876
FD001,unbounded_ae,0,0.9686955915573969,5.157134004837616,1.2724027943760623,True,0.006798602640628815,0.6576447911130917,14.571214167176638,0.8770490358358678
FD001,unbounded_ae,1,0.9686582866500771,5.478824023396787,1.3435472536850854,True,0.01215653121471405,0.7602886815250529,15.0116359751666,0.8695042088580885
FD001,unbounded_ae,2,0.9686333403263446,6.030714316388699,1.4791397645957687,True,0.01246100664138794,0.746139662770181,13.905764023940726,0.8880226549303293
FD001,unbounded_ae,3,0.9686035542437083,5.258365088493348,1.3001150145641431,True,0.011273354291915894,0.7583517752420224,14.912051773848537,0.8712298322317219
FD001,unbounded_ae,4,0.968606739672243,4.875751272017352,1.2030161005811828,True,0.00917084515094757,0.7226519874304355,14.449250536210512,0.8790986643935479
FD001,no_smooth,0,0.9685692916034927,5.6694094480330595,1.4032377706531374,True,0.0011888891458511353,0.73074206828552,14.820861027625215,0.872799937181024
FD001,no_smooth,1,0.9686764582930969,3.007239058601468,0.7494338123480528,True,0.0012293905019760132,0.781165580124056,14.648780150313803,0.875736558283134
FD001,no_smooth,2,0.9686129531982864,4.400611529094697,1.084591676191718,True,0.0008080750703811646,0.7714333245665449,14.023558930449612,0.8861175128244813
FD001,no_smooth,3,0.9682377813011896,3.844854043554799,0.9417747530362864,True,0.0006057694554328918,0.7648977470480782,14.416330142823766,0.8796489469807742
FD001,no_smooth,4,0.96845368543065,5.163132763361783,1.264334162105307,True,0.0008101388812065125,0.7833143044994112,14.246132705884495,0.8824738723331096
FD002,full,0,0.9092030527510189,5.736137347020615,3.431327042834094,True,0.0018768608570098877,0.6545664649285864,27.20702582773386,0.7440589088506593
FD002,full,1,0.9056099116106202,4.75123730906753,2.6521271565584916,True,0.001451253890991211,0.40667680624841585,27.352012606300967,0.7413238102496496
FD002,full,2,0.9090338309160593,5.094023004581027,3.029031783568655,True,0.00166243314743042,0.5519996527404871,27.51618855315547,0.738209168281293
FD002,full,3,0.9098903320682982,4.339452888058922,2.6044869804616058,True,0.0018341541290283203,0.6289027265154356,27.492619508258507,0.7386574511038395
FD002,full,4,0.9042387239448257,1.7012142733430833,1.070748878167225,True,0.0011568069458007812,0.3745185816937153,27.450318095597993,0.7394610597970357
FD002,unbounded_ae,0,0.914719511039444,4.719844689056149,2.8107814311648216,True,0.029507339000701904,-1.0337043612262318,28.026055204180707,0.7284174726253201
FD002,unbounded_ae,1,0.9188417387785623,3.0475878039406066,1.9451536614600455,True,0.03162992000579834,-0.4242956363268999,27.982279983999476,0.7292652052209576
FD002,unbounded_ae,2,0.914260991172079,5.173552853863897,3.0611279544117793,True,0.025068163871765137,-0.9003490209752048,28.013460985200865,0.7286615027808994
FD002,unbounded_ae,3,0.9144701914285186,4.466601623198246,2.8049563158313786,True,0.03918538987636566,0.4721269628763167,27.75372444797877,0.733669794897346
FD002,unbounded_ae,4,0.9139719026462034,7.25466010946304,4.4285533721066335,True,0.02816617488861084,-1.7452173477959732,28.09215780070914,0.7271348460573283
FD002,no_smooth,0,0.9089704978011877,5.690631400008531,3.3794943805513977,True,0.002168625593185425,0.6705483401173452,27.218107122749867,0.7438503791618329
FD002,no_smooth,1,0.9080910654876019,5.162594173384391,3.2529998897330095,True,0.0016803145408630371,0.41789694735155414,27.459326886741298,0.7392900216300176
FD002,no_smooth,2,0.9094903165564152,4.914964580003489,2.988707893651796,True,0.001688241958618164,0.5581695509330407,27.4679654951982,0.739125958927689
FD002,no_smooth,3,0.9070473171691317,4.387165965826978,2.3451393955585624,True,0.001805424690246582,0.6201253043284718,27.51367999742187,0.7382568992346799
FD002,no_smooth,4,0.90586548769725,1.0546519448451293,0.6792707192328719,True,0.0011470913887023926,0.36585813070563733,27.53782042042383,0.7377973924637343
