k,recon_mean_r2,recon_min_r2,freerun_growth,freerun_bounded,skill_hmax
1,0.6306605154085794,0.009534722956015096,3.1333541816818813,True,-1.1757927730162634
2,0.8063626599128001,0.7298924689366086,9.517461332779735,False,-2.6886754902156245
3,0.8807059684974338,0.7656454335215483,4.650451105905788,True,-3.4548082121561157
4,0.903574126415047,0.8048997353603272,3.651961743346917,True,-4.197358140305722
5,0.9015169012767018,0.8297904124797153,6.640658054705821,False,-3.758575000414206
6,0.9008807093945733,0.7974584318988364,4.8464804860243795,True,-3.1972328808133605
