k,recon_r2,recon_r2_min
1,0.3895933192504966,-0.6727574842995125
2,0.7094094750157409,-0.5112945529456283
3,0.68513678255465,-0.913769204548547
4,0.7318818822531337,-0.6209483313582951
5,0.7151852667046871,-0.7319225228688415
6,0.7092042081814118,-0.6350043889204391
