model,skill_h1,nrmse_h1,skill_h10,nrmse_h10,skill_h25,nrmse_h25,skill_h50,nrmse_h50,freerun_growth,bounded
persistence,0.0,0.03662075474858284,0.0,0.2892375588417053,0.0,0.5028238296508789,0.0,0.8765013217926025,1.0,True
cv,-263.2205785197341,0.5952653669389286,-9.158978338615746,0.9218912444120239,-5.062497292582783,1.2380598547972306,-0.8650114742870421,1.1969977457603387,1.6228306155904033,True
cv_damped,-263.2205785197341,0.5952653669389286,-6.380551028451939,0.7857765550901522,-2.4339555401557478,0.931779597111274,-0.3498120820137445,1.0183316314443196,0.9800493411863528,True
holt,-267.3614638621433,0.5999117555067146,-7.073475127302911,0.8218355603193754,-3.4715139121174516,1.0632690090849517,-0.35200833406169374,1.019159748170314,1.9624414816371416,True
trend_lw,-263.37754014615837,0.5954421509513227,-7.417230089870824,0.8391493696576232,-3.8124020167137096,1.1030540986043602,-0.7375681218728566,1.1553764167633833,0.9991933502057525,True
cvd_anch,-0.728827971884761,0.04815076444745287,-1.0435948306379306,0.4134776800782387,-0.8616789499960822,0.6860697274985332,0.04735002411887079,0.8554985127458995,0.9803811181784824,True
holt_anch,-1.3461485736048466,0.0560925329345409,-1.7448414162772845,0.47919613019553453,-1.7843723812956185,0.8390339250935415,-0.12450237269464015,0.9294644134781134,2.1416284608501845,True
var_sensor,-9.511012077331543,0.11872702091932297,-3.7133030891418457,0.6279388666152954,-2.625570058822632,0.9574233293533325,-2.8581063747406006,1.7216293811798096,9104.4287109375,False
mlp_noctx,-243.68736380362293,0.572839184515971,-2.9707409094287907,0.5763257591454042,-0.18312295243241752,0.5466427032665883,0.39059870253211426,0.6837280981143534,3.4493187722526533,True
mlp_ctx,-243.68736380362293,0.572839184515971,-2.9707409094287907,0.5763257591454042,-0.18312295243241752,0.5466427032665883,0.39059870253211426,0.6837280981143534,3.4493187722526533,True
