sensor,horizon,rmse,r2
Fx_rms,1,0.9632722737246332,0.998676784945543
Fx_rms,10,3.7296506904388544,0.982087780058055
Fx_rms,25,18.795164906666702,-2.2903524243784767
Fx_rms,50,34.34402823676411,-0.9936416128443908
Fx_std,1,0.334741004958251,0.9984978889349697
Fx_std,10,2.0661483238330542,0.9453891245089483
Fx_std,25,5.804029235063225,0.6641959114617889
Fx_std,50,13.040004889661727,-0.3545549807016575
Fx_peak,1,2.2803740211979346,0.9969306325369929
Fx_peak,10,6.6869196249486444,0.973263793928565
Fx_peak,25,23.056673292237328,-0.003772057957508901
Fx_peak,50,49.14707928132095,-0.8980366399319779
Fx_kurt,1,0.002859441667457612,0.9943076303637073
Fx_kurt,10,0.057303984274927,-2.3680428675559013
Fx_kurt,25,0.04466513892032152,-2.8149483473143047
Fx_kurt,50,0.04758969501010609,-2.9756375453414368
Fx_skew,1,0.0004357167243158362,0.9999769651397721
Fx_skew,10,0.010218405211901005,0.98526586451422
Fx_skew,25,0.024150712767865252,0.9042956844001039
Fx_skew,50,0.053417385532468095,0.5880383397952963
Fy_rms,1,0.06831522292485644,0.9994287971632864
Fy_rms,10,1.2666145198754017,0.8703531915141112
Fy_rms,25,1.6549696923294834,0.8183745161287248
Fy_rms,50,2.8476912517674493,0.324488348358401
Fy_std,1,0.053339825276347355,0.9997270460198947
Fy_std,10,0.4042768065793123,0.9844373808159714
Fy_std,25,1.270053530682043,0.8756746059146069
Fy_std,50,2.936035517819162,0.38254520817661897
Fy_peak,1,0.25864698869518254,0.9995861525157316
Fy_peak,10,1.2309084452126786,0.9903165043301253
Fy_peak,25,3.9915929413543947,0.8993915296505527
Fy_peak,50,9.530832708121135,0.24296968655718276
Fy_kurt,1,0.044817152940951906,0.995187081099252
Fy_kurt,10,0.19694115752599423,0.8719050555660941
Fy_kurt,25,0.3644995107746106,0.4721546460518766
Fy_kurt,50,0.7118387394402013,-3.124105081948634
Fy_skew,1,0.004335066306544223,0.9989760150298832
Fy_skew,10,0.04922724883816781,0.852416298719015
Fy_skew,25,0.07708089569982407,0.6487764310318724
Fy_skew,50,0.12495566737895693,0.11164171877164275
Fz_rms,1,0.12271473931471852,0.9995341382886698
Fz_rms,10,6.523219832675139,-0.5945561551218095
Fz_rms,25,6.684448280248041,-0.2668593956618719
Fz_rms,50,7.96065710873922,-0.9854741134499985
Fz_std,1,0.09743803976613004,0.9996396190740963
Fz_std,10,0.8436606669658171,0.9694417080872025
Fz_std,25,2.4285713149247328,0.8092658582143052
Fz_std,50,5.569739106335839,-0.07449262821600366
Fz_peak,1,0.30714470977233665,0.9992336943007702
Fz_peak,10,8.200573328604511,0.5959395023130667
Fz_peak,25,9.840483952354479,0.4963192415310571
Fz_peak,50,14.734447126770894,-0.4958944992614722
Fz_kurt,1,0.0022184247589162294,0.9998153578673021
Fz_kurt,10,0.019453109257430864,0.9857421324796314
Fz_kurt,25,0.013789915048051072,0.993276270022288
Fz_kurt,50,0.04777538119752619,0.942897789188002
Fz_skew,1,0.0005770286857976318,0.9999883787776492
Fz_skew,10,0.008958684469657368,0.9973082982910455
Fz_skew,25,0.014709099390938406,0.9931267780326926
Fz_skew,50,0.037377618484833126,0.9649840721824257
Vx_rms,1,0.0010598178107486312,0.9994229051707703
Vx_rms,10,0.011612355138262857,0.9431927955427608
Vx_rms,25,0.03407803181019525,0.7050544044044386
Vx_rms,50,0.06656045887379933,0.21659120205936744
Vx_std,1,0.0010608632261258088,0.9994217811729109
Vx_std,10,0.011583470005623037,0.9435282629410293
Vx_std,25,0.03408118063840798,0.705000284777705
Vx_std,50,0.06655329768109762,0.21651042650918995
Vx_peak,1,0.0075938275927538,0.9994816137981166
Vx_peak,10,0.07081309188778813,0.9610214519045757
Vx_peak,25,0.18751844636922355,0.8104165211940308
Vx_peak,50,0.44100786621704624,0.3304268320680356
Vx_kurt,1,0.03215662484294915,0.9933779849243614
Vx_kurt,10,0.08782253935453123,0.952688388507423
Vx_kurt,25,0.12324560017701677,0.8767691123810316
Vx_kurt,50,0.21105004517272544,0.669884469413066
Vx_skew,1,0.002151072246778501,0.9994703153121316
Vx_skew,10,0.010790136880849299,0.9874197196263063
Vx_skew,25,0.030047595724276212,0.91578849497845
Vx_skew,50,0.042228217726959144,0.8183028189274731
Vy_rms,1,0.0006116369741967346,0.9999451075680573
Vy_rms,10,0.012850237067093975,0.9787945915589458
Vy_rms,25,0.03473618870142785,0.8798513766158241
Vy_rms,50,0.06764072863120944,0.6567158488608895
Vy_std,1,0.0006408027785750881,0.9999397625617608
Vy_std,10,0.012858002426592203,0.9788067998997599
Vy_std,25,0.03475371653292278,0.8797823531153643
Vy_std,50,0.0676614496222694,0.6565565024621105
Vy_peak,1,0.019416490053795428,0.9986550143420598
Vy_peak,10,0.08624868741021166,0.9746351044805843
Vy_peak,25,0.20470673650489096,0.8882037334950668
Vy_peak,50,0.42229471326012824,0.6685842450407169
Vy_kurt,1,0.005379134910978776,0.9996486208523955
Vy_kurt,10,0.053391286013032446,0.9608391997340981
Vy_kurt,25,0.10717111497437204,0.870711778114624
Vy_kurt,50,0.18743712356331374,0.6108682986599504
Vy_skew,1,0.001143522657420063,0.9993201238104898
Vy_skew,10,0.019110518729266477,0.7828172799514004
Vy_skew,25,0.02636952871837753,0.5381031037831285
Vy_skew,50,0.03495171303897114,-1.249520407064654
Vz_rms,1,0.0007530348403566248,0.9998588440508352
Vz_rms,10,0.019981071586287355,0.9298062177563974
Vz_rms,25,0.046404839640292246,0.7510479564427056
Vz_rms,50,0.10805050681473712,0.3158067411725114
Vz_std,1,0.0007557214694227731,0.9998578749375164
Vz_std,10,0.019961891658996294,0.9299914435839404
Vz_std,25,0.04636404615196895,0.7514828991524007
Vz_std,50,0.10805790996433359,0.3158604795279879
Vz_peak,1,0.00665832525527871,0.999798420165334
Vz_peak,10,0.14192956841639282,0.9371382401810462
Vz_peak,25,0.2533699267576982,0.8420739048766406
Vz_peak,50,0.5977683321560057,0.46001269691813695
Vz_kurt,1,0.022789041459981788,0.9922034963309999
Vz_kurt,10,0.08111373146119655,0.8980098096860116
Vz_kurt,25,0.15602508270867363,0.5954244577465562
Vz_kurt,50,0.1304332938156559,0.31884702112175056
Vz_skew,1,0.001993698270328381,0.9993091773326291
Vz_skew,10,0.024754386629422327,0.8365503906187225
