timestamp,epoch,batch,train_loss,pinns_loss,train_acc,test_loss,test_pinns_loss,test_acc,learning_rate,elapsed_seconds,gpu_memory_allocated_gb
2025-09-03 23:31:40,0,0,0.25548070669174194,27.51887321472168,0.0071070194244384766,,,,2e-05,1.551300287246704,0.069390336
2025-09-03 23:31:40,0,1,0.2557325065135956,27.51886749267578,0.006515860557556152,,,,2e-05,1.6019585132598877,0.069376512
2025-09-03 23:31:40,0,2,0.2539195418357849,27.518863677978516,0.006506979465484619,,,,2e-05,1.6441659927368164,0.069358592
2025-09-03 23:31:40,0,3,0.2479984611272812,27.518877029418945,0.006948888301849365,,,,2e-05,1.697195053100586,0.069384704
2025-09-03 23:31:40,0,4,0.2458527684211731,27.518888473510742,0.00782543420791626,,,,2e-05,1.7488644123077393,0.069382656
2025-09-03 23:31:40,0,5,0.25987082719802856,27.5189151763916,0.010586380958557129,,,,2e-05,1.8029968738555908,0.069380096
2025-09-03 23:31:40,0,6,0.24650737643241882,27.51889991760254,0.009332537651062012,,,,2e-05,1.8613157272338867,0.06939136
2025-09-03 23:31:40,0,7,0.2554374039173126,27.518938064575195,0.013077139854431152,,,,2e-05,1.9215264320373535,0.06939392
2025-09-03 23:31:40,0,8,0.2625042498111725,27.51891326904297,0.010209441184997559,,,,2e-05,1.95900297164917,0.069343744
2025-09-03 23:31:40,0,9,0.2477763444185257,27.5189151763916,0.013040304183959961,,,,2e-05,2.025716543197632,0.06941184
2025-09-03 23:31:40,0,10,0.2505713701248169,27.518911361694336,0.012043952941894531,,,,2e-05,2.067152261734009,0.069358592
2025-09-03 23:31:40,0,11,0.24532486498355865,27.518917083740234,0.012375235557556152,,,,2e-05,2.120427370071411,0.069384704
2025-09-03 23:31:40,0,12,0.2554309070110321,27.518943786621094,0.01602119207382202,,,,2e-05,2.1760950088500977,0.069388288
2025-09-03 23:31:41,0,13,0.25300443172454834,27.518932342529297,0.015726685523986816,,,,2e-05,2.229356288909912,0.069384704
2025-09-03 23:31:41,0,14,0.24550797045230865,27.518953323364258,0.01650899648666382,,,,2e-05,2.278155565261841,0.069379072
2025-09-03 23:31:41,0,15,0.24782682955265045,27.51895523071289,0.01785445213317871,,,,2e-05,2.33152437210083,0.069384704
2025-09-03 23:31:41,0,16,0.25068116188049316,27.518964767456055,0.017766714096069336,,,,2e-05,2.382110595703125,0.069381632
2025-09-03 23:31:41,0,17,0.2514151632785797,27.518966674804688,0.018972039222717285,,,,2e-05,2.4341354370117188,0.069382656
2025-09-03 23:31:41,0,18,0.24166256189346313,27.518966674804688,0.017780065536499023,,,,2e-05,2.476926803588867,0.069369344
2025-09-03 23:31:41,0,19,0.25159400701522827,27.518983840942383,0.020019888877868652,,,,2e-05,2.523292303085327,0.069374464
2025-09-03 23:31:41,0,20,0.25212088227272034,27.518964767456055,0.019098758697509766,,,,2e-05,2.5663654804229736,0.06937088
2025-09-03 23:31:41,0,21,0.24776071310043335,27.51900291442871,0.023951709270477295,,,,2e-05,2.6271252632141113,0.069395968
2025-09-03 23:31:41,0,22,0.238725945353508,27.51901626586914,0.02397233247756958,,,,2e-05,2.684291362762451,0.069390336
2025-09-03 23:31:41,0,23,0.25681889057159424,27.519012451171875,0.022499799728393555,,,,2e-05,2.728031873703003,0.069371392
2025-09-03 23:31:41,0,24,0.2465229332447052,27.519014358520508,0.022882699966430664,,,,2e-05,2.7712948322296143,0.069369344
2025-09-03 23:31:41,0,25,0.24373388290405273,27.5190372467041,0.028190553188323975,,,,2e-05,2.84175968170166,0.0694272
2025-09-03 23:31:41,0,26,0.2492339164018631,27.51900863647461,0.02537161111831665,,,,2e-05,2.9027106761932373,0.06939392
2025-09-03 23:31:41,0,27,0.24432888627052307,27.519027709960938,0.026822447776794434,,,,2e-05,2.9598090648651123,0.069390336
2025-09-03 23:31:41,0,28,0.24006934463977814,27.519023895263672,0.0249178409576416,,,,2e-05,3.0028443336486816,0.06937088
2025-09-03 23:31:41,0,29,0.2419242262840271,27.5190486907959,0.02876979112625122,,,,2e-05,3.055649995803833,0.069384704
2025-09-03 23:31:41,0,30,0.242047518491745,27.51906394958496,0.02916163206100464,,,,2e-05,3.1083755493164062,0.069382656
2025-09-03 23:31:41,0,31,0.23539231717586517,27.519081115722656,0.03283613920211792,,,,2e-05,3.1822919845581055,0.069431808
2025-09-03 23:31:42,0,32,0.25151482224464417,27.51906394958496,0.031630098819732666,,,,2e-05,3.236531972885132,0.069385216
2025-09-03 23:31:42,0,33,0.236967995762825,27.51905059814453,0.029497802257537842,,,,2e-05,3.2860279083251953,0.069380096
2025-09-03 23:31:42,0,34,0.24017325043678284,27.519094467163086,0.03584188222885132,,,,2e-05,3.358088970184326,0.069429248
2025-09-03 23:31:42,0,35,0.2468409538269043,27.519041061401367,0.02977389097213745,,,,2e-05,3.4121615886688232,0.069385216
2025-09-03 23:31:42,0,36,0.2441224902868271,27.519073486328125,0.032342731952667236,,,,2e-05,3.4572925567626953,0.069371904
2025-09-03 23:31:42,0,37,0.2419145703315735,27.51911163330078,0.036186158657073975,,,,2e-05,3.5131897926330566,0.069388288
2025-09-03 23:31:42,0,38,0.24857357144355774,27.51909065246582,0.03304266929626465,,,,2e-05,3.5553841590881348,0.069368832
2025-09-03 23:31:42,0,39,0.23321355879306793,27.519136428833008,0.04177123308181763,,,,2e-05,3.655060291290283,0.069446656
2025-09-03 23:31:42,0,40,0.24483361840248108,27.519100189208984,0.03515589237213135,,,,2e-05,3.7007503509521484,0.069371904
2025-09-03 23:31:42,0,41,0.2349223792552948,27.519105911254883,0.03852486610412598,,,,2e-05,3.756943941116333,0.069388288
2025-09-03 23:31:42,0,42,0.24454817175865173,27.51912498474121,0.03904026746749878,,,,2e-05,3.8099071979522705,0.069384704
2025-09-03 23:31:42,0,43,0.23590508103370667,27.519136428833008,0.040281713008880615,,,,2e-05,3.8607473373413086,0.069380096
2025-09-03 23:31:42,0,44,0.24363388121128082,27.519140243530273,0.04088151454925537,,,,2e-05,3.912471294403076,0.069382144
2025-09-03 23:31:42,0,45,0.23104429244995117,27.519142150878906,0.04289501905441284,,,,2e-05,3.972599506378174,0.06939392
2025-09-03 23:31:42,0,46,0.24559804797172546,27.51914405822754,0.04168778657913208,,,,2e-05,4.021373987197876,0.069377536
2025-09-03 23:31:42,0,47,0.22900716960430145,27.519197463989258,0.04905259609222412,,,,2e-05,4.1055474281311035,0.069445632
